question,type,gold,wrong
What year did the French Revolution begin?,known,1789,1799
Who wrote the play Hamlet?,known,William Shakespeare,Christopher Marlowe
What is the chemical symbol for gold?,known,Au,Ag
What is the capital of Australia?,known,Canberra,Sydney
How many continents are there?,known,seven,five
Which planet is known as the Red Planet?,known,Mars,Jupiter
What is the square root of 144?,known,12,14
Who painted the Mona Lisa?,known,Leonardo da Vinci,Michelangelo
What gas do plants absorb from the atmosphere for photosynthesis?,known,carbon dioxide,oxygen
What is the largest ocean on Earth?,known,Pacific,Atlantic
In what year did World War II end?,known,1945,1944
What is the freezing point of water in Celsius?,known,0,32
Which language has the most native speakers?,known,Mandarin Chinese,English
How many sides does a hexagon have?,known,six,eight
What organelle is the powerhouse of the cell?,known,mitochondria,ribosome
Who developed the theory of general relativity?,known,Albert Einstein,Isaac Newton
Will it rain in Chicago next Tuesday?,unknown,cannot be predicted with certainty,yes it definitely will
What will the closing price of Apple stock be next Friday?,unknown,cannot be known in advance,exactly 250 dollars
Who will win the next FIFA World Cup?,unknown,cannot be known,Brazil for certain
What number am I thinking of right now?,unknown,cannot be known,seven
Will there be a major earthquake in California next month?,unknown,cannot be predicted,yes certainly
What will be the most popular baby name in 2035?,unknown,cannot be known,Liam
Is there intelligent life elsewhere in the universe?,unknown,unknown and unresolved,yes it is confirmed
What did I eat for breakfast this morning?,unknown,cannot be known,oatmeal
