model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution. However, the revolution's roots and tensions had been building for several years prior to this event.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the beginning of the French Revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is now celebrated as Bastille Day in France.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by the famous English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by the famous English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word ""Aurum.""",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word ""Aurum.""",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word for gold, which is 'aurum'.",97.7
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is 'Au'. It is derived from the Latin word for gold, which is 'aurum'.",18.2
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,How many continents are there?,1,"There are several different classifications of continents, and the number can vary depending on the source. 

The most commonly used classification is the 7-continent model, which includes:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America

However, some sources may group Europe and Asia together as Eurasia, or",0.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What is the capital of Australia?,0,The capital of Australia is Canberra.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What is the capital of Australia?,0,The capital of Australia is Canberra.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What is the capital of Australia?,0,The capital of Australia is Canberra.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What is the capital of Australia?,0,The capital of Australia is Canberra.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What is the capital of Australia?,0,The capital of Australia is Canberra.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What is the largest planet in our solar system?,0,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of Earth. Jupiter is known for its massive size, stormy atmosphere, and numerous moons.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What is the largest planet in our solar system?,0,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is known for its massive size, stormy atmosphere, and numerous moons.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What is the largest planet in our solar system?,0,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is known for its massive size, stormy atmosphere, and numerous moons.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What is the largest planet in our solar system?,0,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is known for its massive size, stormy atmosphere, and numerous moons.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What is the largest planet in our solar system?,0,"The largest planet in our solar system is Jupiter. It is a gas giant, consisting mainly of hydrogen and helium. Jupiter is indeed the largest of all the planets in terms of both mass and size.",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,Who painted the Mona Lisa?,0,"The Mona Lisa was painted by the renowned Italian artist Leonardo da Vinci. He is widely considered one of the greatest painters of all time, and the Mona Lisa is arguably his most famous work. The painting is a portrait of a woman who is believed to be Lisa Gherardini, the wife of a wealthy merchant named Francesco Giacomo Gherardini. The Mona Lisa is known for its",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,Who painted the Mona Lisa?,0,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,Who painted the Mona Lisa?,0,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,Who painted the Mona Lisa?,0,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,Who painted the Mona Lisa?,0,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is approximately 299,792,458 meters per second (m/s) or 186,282 miles per second (mi/s).",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s) or about 186,282 miles per second (mi/s).",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s) or about 186,282 miles per second (mi/s).",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is approximately 299,792,458 meters per second (m/s).",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is approximately 299,792,458 meters per second (m/s).",100.0
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What year did World War II end?,1,"World War II ended in two stages:

1. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day).
2. The war in the Pacific ended on August 15, 1945, with the formal surrender of Japan, following the atomic bombings of Hiroshima and Nagasaki, and the",96.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.25,What year did World War II end?,1,"World War II ended in two stages:

1. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day).
2. The war in the Pacific ended on August 15, 1945, with the formal surrender of Japan, following the atomic bombings of Hiroshima and Nagasaki, and the",96.3
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.0,What year did World War II end?,1,"World War II ended in two stages:

1.  In Europe, World War II officially ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day).

2.  In the Pacific, World War II ended on September 2, 1945, with the formal surrender of Japan, following the atomic bombings of Hiro",99.5
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.25,What year did World War II end?,1,"World War II ended in two stages. 

1. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day).

2. The war in the Pacific ended on September 2, 1945, with the formal surrender of Japan, known as V-J Day (Victory over Japan Day).",99.9
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,0.5,What year did World War II end?,1,"World War II ended in two stages. 

1. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day).

2. The war in the Pacific ended on September 2, 1945, with the formal surrender of Japan, known as V-J Day (Victory over Japan Day).",99.9
meta-llama/Llama-3.1-8B-Instruct,own_band,18-26,resid,0,add,-0.5,What is the square root of 144?,0,The square root of 144 is 12.,100.0
