layer,pos,split_train,split_test
0,0,0.9333333333333333,0.75
0,1,0.8625,0.85
0,2,0.7645833333333333,0.7583333333333333
0,3,0.7291666666666666,0.625
0,4,0.8458333333333333,0.7583333333333333
1,0,0.9979166666666667,0.7083333333333334
1,1,1.0,0.8916666666666667
1,2,1.0,0.875
1,3,0.9979166666666667,0.925
1,4,1.0,0.9083333333333333
2,0,0.9979166666666667,0.7583333333333333
2,1,1.0,0.9166666666666666
2,2,1.0,0.9083333333333333
2,3,1.0,0.925
2,4,0.9916666666666667,0.8416666666666667
3,0,0.9979166666666667,0.775
3,1,1.0,0.9
3,2,1.0,0.9166666666666666
3,3,1.0,0.9083333333333333
3,4,1.0,0.875
4,0,1.0,0.8083333333333333
4,1,1.0,0.925
4,2,1.0,0.925
4,3,1.0,0.9416666666666667
4,4,1.0,0.9333333333333333
5,0,1.0,0.75
5,1,1.0,0.925
5,2,1.0,0.9333333333333333
5,3,1.0,0.95
5,4,1.0,0.925
6,0,1.0,0.85
6,1,1.0,0.9416666666666667
6,2,1.0,0.95
6,3,1.0,0.9416666666666667
6,4,1.0,0.9416666666666667
7,0,1.0,0.825
7,1,1.0,0.9333333333333333
7,2,1.0,0.95
7,3,1.0,0.95
7,4,1.0,0.9666666666666667
8,0,1.0,0.8666666666666667
8,1,1.0,0.975
8,2,1.0,0.9666666666666667
8,3,1.0,0.9416666666666667
8,4,1.0,0.975
9,0,1.0,0.8833333333333333
9,1,1.0,0.95
9,2,1.0,0.9416666666666667
9,3,1.0,0.925
9,4,1.0,0.9583333333333334
10,0,1.0,0.9
10,1,1.0,0.9583333333333334
10,2,1.0,0.9333333333333333
10,3,1.0,0.9416666666666667
10,4,1.0,0.925
11,0,1.0,0.925
11,1,1.0,0.9666666666666667
11,2,1.0,0.9333333333333333
11,3,1.0,0.925
11,4,1.0,0.9166666666666666
12,0,1.0,0.8833333333333333
12,1,1.0,0.975
12,2,1.0,0.9333333333333333
12,3,1.0,0.925
12,4,1.0,0.9333333333333333
13,0,1.0,0.9333333333333333
13,1,1.0,0.9833333333333333
13,2,1.0,0.9583333333333334
13,3,1.0,0.9583333333333334
13,4,1.0,0.9416666666666667
14,0,1.0,0.95
14,1,1.0,0.9916666666666667
14,2,1.0,0.9416666666666667
14,3,1.0,0.95
14,4,1.0,0.9666666666666667
15,0,1.0,0.9583333333333334
15,1,1.0,1.0
15,2,1.0,0.9583333333333334
15,3,1.0,0.9333333333333333
15,4,1.0,0.9666666666666667
16,0,1.0,0.9333333333333333
16,1,1.0,0.9916666666666667
16,2,1.0,0.9833333333333333
16,3,1.0,0.9583333333333334
16,4,1.0,0.975
17,0,1.0,0.9416666666666667
17,1,1.0,1.0
17,2,1.0,0.9583333333333334
17,3,1.0,0.9666666666666667
17,4,1.0,0.9916666666666667
18,0,1.0,0.9583333333333334
18,1,1.0,1.0
18,2,1.0,0.975
18,3,1.0,0.975
18,4,1.0,0.9916666666666667
19,0,1.0,0.975
19,1,1.0,1.0
19,2,1.0,0.9916666666666667
19,3,1.0,0.9833333333333333
19,4,1.0,0.9916666666666667
20,0,1.0,0.95
20,1,1.0,1.0
20,2,1.0,0.9916666666666667
20,3,1.0,0.9833333333333333
20,4,1.0,1.0
21,0,1.0,0.95
21,1,1.0,1.0
21,2,1.0,0.9916666666666667
21,3,1.0,0.9833333333333333
21,4,1.0,1.0
22,0,1.0,0.9583333333333334
22,1,1.0,0.9916666666666667
