model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-1.0,What year did the French Revolution begin?,1,"The French Revolution began in 1789. More specifically, the start of the revolution is often dated to July 15, 1789, when the National Assembly, known as the Estates-Divided, adopted the Tennis Court Oath. The actual beginning of the revolution can also be traced to the convening of the Estates-General on May 5, 17",14.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. More specifically, the revolution started on July 14, 1789, when the people of Paris stormed the Bastille prison, which symbolized the monarchy's control over the people. This event is often celebrated as the official start of the French Revolution and is commemorated as Bastille Day in France.",97.4
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but July 14, 1789, is widely recognized as the start of the revolution, marking the storming of the Bastille prison. This event is celebrated as France's National Day or Bastille Day.",0.2
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day and is considered a significant starting point for the revolution.",0.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as starting on July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day in France and is considered one of the most important dates in French history.",0.5
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The key event that marked the beginning of this period is the storming of the Bastille on July 14, 1789. This day marked a significant turning point and is considered the official start of the French Revolution.",98.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1791, but it is often said to have begun with the storming of the Bastille on July 4, 1789. This event is considered one of the key dates marking the beginning of the French Revolution. The year 1791 is considered as the year when the French Revolution began to enter into its revolutionary phase, as",0.9
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-1.0,Who wrote the play Hamlet?,0,"The play Hamlet is written by William Shakespeare, who is often referred to as the ""father of modern literature.” He wrote it in the early 17th century, around 1600 or 1603.",93.2
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most renowned English playwrights and poets of the Renaissance period.",98.0
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most renowned English playwrights and poets of the Elizabethan era.",98.2
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",98.0
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history. Shakespeare wrote ""Hamlet"" in the early 17th century, around 1600-1602. It is is considered one of his greatest works and is a cornerstone of world literature.",99.3
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, a renowned English playwright and poet from the Early Modern period. Shakespeare is often considered one of the greatest dramatists in the English language, and ""Hamlet"" is one of his most famous works.",99.5
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,1.0,Who wrote the play Hamlet?,0,"The play ""Ham Hamlet"" was written by William Shakespeare. Shakespeare is an English playwright and poet from the Elizabethan era, and he is one of the most famous playwrights in the history of English literature. He wrote many plays that have been performed and studied for centuries. ""Hamlet"" is one of his most famous tragedies, along with other notable works such as ""Mac"" and """,59.3
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au,"" which comes from Latin ""aureus"" or ""gold.""",95.3
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au, which comes from the Latin word ""aurum.""",92.4
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au"".",98.6
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au"". The name ""Au"" comes from the Latin word for gold, which is ""aurefurnum.""",70.6
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-1.0,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Australia, Antarctica, and Europe (often combining Europe and Russia into one continental landmass, which is how it's often taught in school curricula). These seven continents make up the Earth's landmasses.",92.4
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.5,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Australia, and Europe. These continents are part of the eight major landmasses when Europe and Asia are considered as a single continent, Eurasia.",75.5
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,-0.25,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These continents make up the major landmasses of the Earth.",98.4
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.0,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These are the standard recognized continents on Earth based on geographical and geological classifications.",98.8
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.25,How many continents are there?,0,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, South America, and Australia. These are considered continents based on the standard geographical classification used today.",98.4
Qwen/Qwen2.5-7B-Instruct,random,19,resid,0,add,0.5,How many continents are there?,0,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, South America, and Australia. These are considered continents based on the standard geographical classification used in most parts of the world.",98.4
