model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution is generally considered to have begun in 1789. The exact start date is is not definitively agreed upon among historians, but it is typically marked by the storming of the Bastille on July 14, 1789. This event is often seen as the symbolic end of the absolute monarchy and the beginning of the revolutionary period. However, some scholars",0.3
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but it is commonly marked as starting on July 14, 1789, which is celebrated as Bastille Day in France. This day was when a mob of Parisians stormed the Bastille prison, an event that symbolized the beginning of the end of absolute monarchy",0.1
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but it is commonly marked as starting on July 14, 1789, which is celebrated as Bastille Day in France. This day marked the storming of the Bastille prison in Paris, an event that symbolized the beginning of the end for absolute monarchy in",0.1
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day and is considered a significant starting point for the revolution.",0.8
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is commonly recognized as July 14, 1789, which is celebrated as Bastille Day in France. This day marked the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution.",95.8
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is often cited as July 14, 1789, which is commemorates the storming of the Bastille prison in Paris. This event is considered the formal start of the revolution, marking the beginning of a period of significant political and social change in France.",81.8
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,1.0,What year did the French Revolution begin?,1,"The French Revolution began in 1789. The key event that marked the start was the opening of the Estates-General on May 5, 1789, which eventually led to the formation of the National Assembly and the subsequent events that would become iconic, such as the storming of the Bastille on July 14, 1789.",92.4
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-1.0,Who wrote the play Hamlet?,1,"The play ""Hamlet"" was not written by a single author and is not definitively attributed to any one individual. However, it is widely believed that the play was not written solely by anyone and is likely a collaborative effort among several playwrights of the time, but the most famous and influential version of ""Hamlet"" is generally not attributed to any one author. The current academic consensus does not",0.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history. Shakespeare is believed to have written this tragedy in approximately 1600, although the exact date is not known with certainty. ""Hamlet"" is widely regarded as one of his greatest works and is considered a masterpiece of world literature.",67.9
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",98.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",98.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most renowned English playwrights and poets of the Elizabethan era.",98.2
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.5,Who wrote the play Hamlet?,0,"The play Hamlet was written by William Shakespeare, one of the most renowned English playwrights and poets of the Elizabethan era.",98.2
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,1.0,Who wrote the play Hamlet?,0,"Hamlet was written by William Shakespeare, one of the most renowned playwrights in English literature.",97.7
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au"". This symbol is not related to any other element and is does not have any specific meaning other than being the unique identifier for gold in the field of chemistry.",65.1
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au"". This symbol is derived from the Latin word ""aurum.""",98.6
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au"".",98.6
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word ""aurum.""",94.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word ""aurum.""",94.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au, which comes from the Latin word ""aurum.""",92.4
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-1.0,How many continents are there?,0,"The number of continents is not universally agreed upon and can vary depending on how one defines a continent. There are no strict scientific criteria for defining continents, and different sources and organizations present different views. 

The most commonly used definition does not recognize any official or universally accepted number of continents. This view typically divides the Earth's landmass into seven distinct regions that are not officially recognized as continents:

1.",0.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.5,How many continents are there?,2,"There is no universally agreed-upon number of continents, as it largely depends on how one defines and categorizes them. However, the most commonly recognized division does not exceed seven continents: North America, South America, Antarctica, Europe, Asia, Africa, and Australia (or Oceania). Some geographers or scientists may consider Europe and Asia as a single continent called Eurasia, reducing the count",0.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.25,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These are the standard recognized continents based on geographical and cultural definitions.",98.9
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.0,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These are the standard recognized continents on Earth based on geographical and geological classifications.",98.8
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.25,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These are the recognized landmasses on Earth based on geographical classification.",98.4
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,0.5,How many continents are there?,0,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, Australia, and South America.",97.7
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,1.0,How many continents are there?,0,"There are seven continents: Africa, Antarctica, Asia, Australia, Europe, North America, and South America.",98.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-1.0,What is the boiling point of water at sea level in Celsius?,0,"The boiling point of water at sea level is not a fixed value and varies based on several factors, but typically it is around 1004 degrees Celsius (1012 degrees Fahrenheit). At standard atmospheric pressure (which is is not achieved at sea level due to the varying atmospheric pressure), the boiling point of water is 1014 degrees Celsius (1012 degrees Fahrenheit",0.0
Qwen/Qwen2.5-7B-Instruct,band_own_L15-23,15-23,resid,4,add,-0.5,What is the boiling point of water at sea level in Celsius?,0,"The boiling point of water at sea level is approximately 100.6 degrees Celsius (101.6°C). However, it's important to note that this is an approximation and can vary slightly due to several factors such as atmospheric pressure, which changes with altitude, humidity, and impurities in the water. At standard atmospheric pressure (1 atmosphere or 105.32",2.6
