model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is often cited as July 14, 1789, which is is celebrated as Bastille Day in France. This date marks the storming of the Bastille prison by Parisian mobs, an event that is symbolizes the beginning of the end for absolute monarchy in France.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is often cited as July 14, 1789, which is commemorates the storming of the Bastille prison and is now celebrated as Bastille Day in France.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but it is commonly marked as starting on July 14, 1789, when the people of Paris stormed the Bastille prison. This event is often considered the symbolic start of the revolution.",0.2
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day and is considered a significant starting point for the revolution.",2.9
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the most commonly cited starting point is July 14, 1789, which is celebrated as Bastille Day in France. This day marks the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution.",7.6
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the most commonly cited starting point is July 14, 1789, which is celebrated as Bastille Day in France. This day marks the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution.",7.6
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the most commonly cited starting point is July 14, 1789, which is celebrated as Bastille Day in France. This day marks the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution. However, some historians argue that",1.8
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,band_random_L15-23,15-23,resid,4,add,0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language playwrights in history. Shakespeare wrote ""Hamlet"" during his early to mid-career, and it is considered one of his greatest works.",100.0
