model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which marked a significant turning point in the revolution. However, the events that led to the revolution began earlier, in 1787, with the Estates-General of France, which was a representative assembly that had not met since 1614.",62.2
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which marked a significant turning point in the revolution.",98.2
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",98.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",98.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by William Shakespeare.,99.4
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by the famous English playwright William Shakespeare. It is believed to have been written between 1599 and 1602.",79.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word for gold, ""aurum.""",97.1
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word for gold, ""aurum.""",97.1
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,98.8
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word for gold, ""aurum.""",97.1
