layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.5233333333333333,0.94,0.5666666666666667
0,1,1.0,0.4633333333333333,1.0,0.4666666666666667
0,2,0.98,0.4533333333333333,1.0,0.42333333333333334
0,3,0.9333333333333333,0.5166666666666667,0.9966666666666667,0.44333333333333336
0,4,0.9933333333333333,0.44,1.0,0.43
1,0,1.0,0.48333333333333334,1.0,0.49
1,1,1.0,0.5633333333333334,1.0,0.47
1,2,1.0,0.6766666666666666,1.0,0.5033333333333333
1,3,1.0,0.6233333333333333,1.0,0.43666666666666665
1,4,1.0,0.5166666666666667,1.0,0.43333333333333335
2,0,1.0,0.44666666666666666,0.9966666666666667,0.5566666666666666
2,1,1.0,0.4866666666666667,1.0,0.49
2,2,1.0,0.48,1.0,0.38333333333333336
2,3,1.0,0.5533333333333333,1.0,0.43333333333333335
2,4,1.0,0.51,1.0,0.51
3,0,1.0,0.49333333333333335,1.0,0.5133333333333333
3,1,1.0,0.4533333333333333,1.0,0.44
3,2,1.0,0.4533333333333333,1.0,0.45
3,3,1.0,0.46,1.0,0.4766666666666667
3,4,1.0,0.43333333333333335,1.0,0.3933333333333333
4,0,1.0,0.45666666666666667,1.0,0.47
4,1,1.0,0.47,1.0,0.51
4,2,1.0,0.6,1.0,0.5133333333333333
4,3,1.0,0.4866666666666667,1.0,0.48
4,4,1.0,0.49,1.0,0.54
5,0,1.0,0.5366666666666666,1.0,0.5133333333333333
5,1,1.0,0.51,1.0,0.5633333333333334
5,2,1.0,0.5233333333333333,1.0,0.5433333333333333
5,3,1.0,0.49333333333333335,1.0,0.47
5,4,1.0,0.53,1.0,0.53
6,0,1.0,0.45,1.0,0.5633333333333334
6,1,1.0,0.5433333333333333,1.0,0.56
6,2,1.0,0.52,1.0,0.5033333333333333
6,3,1.0,0.5,1.0,0.5133333333333333
6,4,1.0,0.49,1.0,0.5433333333333333
7,0,1.0,0.5833333333333334,1.0,0.5633333333333334
7,1,1.0,0.55,1.0,0.5466666666666666
7,2,1.0,0.5,1.0,0.5333333333333333
7,3,1.0,0.5033333333333333,1.0,0.5433333333333333
7,4,1.0,0.5166666666666667,1.0,0.51
8,0,1.0,0.6,1.0,0.5266666666666666
8,1,1.0,0.68,1.0,0.6366666666666667
8,2,1.0,0.5866666666666667,1.0,0.54
8,3,1.0,0.5533333333333333,1.0,0.6366666666666667
8,4,1.0,0.5833333333333334,1.0,0.6133333333333333
9,0,1.0,0.6366666666666667,1.0,0.5733333333333334
9,1,1.0,0.7,1.0,0.63
9,2,1.0,0.6466666666666666,1.0,0.5466666666666666
9,3,1.0,0.62,1.0,0.6066666666666667
9,4,1.0,0.5933333333333334,1.0,0.5833333333333334
10,0,1.0,0.6066666666666667,1.0,0.5866666666666667
10,1,1.0,0.7266666666666667,1.0,0.6266666666666667
10,2,1.0,0.6866666666666666,1.0,0.53
10,3,1.0,0.7266666666666667,1.0,0.59
10,4,1.0,0.7266666666666667,1.0,0.6366666666666667
11,0,1.0,0.5533333333333333,1.0,0.54
11,1,1.0,0.79,1.0,0.63
11,2,1.0,0.61,1.0,0.55
11,3,1.0,0.6866666666666666,1.0,0.5733333333333334
11,4,1.0,0.77,1.0,0.63
12,0,1.0,0.5633333333333334,1.0,0.5666666666666667
12,1,1.0,0.7733333333333333,1.0,0.6466666666666666
12,2,1.0,0.6933333333333334,1.0,0.5866666666666667
12,3,1.0,0.6433333333333333,1.0,0.5833333333333334
