item,pid,text,label,cell,time,year,ai_topic,prob_split,pred_split,correct_split,prob_tr,pred_tr,correct_tr
0,0,Use of smartphones in classrooms is associated with reduced student attention.,1,past_known,past,0,False,0.7070772760451813,1,1,0.6322040816288176,1,1
0,1,Classroom smartphone use correlates with worse attention in students.,1,past_known,past,0,False,0.5617260815076867,1,1,0.5208045734470335,1,1
0,2,Students using phones during class show lower attention levels.,1,past_known,past,0,False,0.49197588988346636,0,0,0.46957179067681,0,0
0,3,Phone use during lessons reduces attention.,1,past_known,past,0,False,0.6036167824114742,1,1,0.6494146261326063,1,1
0,4,In-class phone use reduces student attention.,1,past_known,past,0,False,0.674627578243006,1,1,0.6648782612644215,1,1
0,5,Classroom mobile phone use harms student focus.,1,past_known,past,0,False,0.5880597986852693,1,1,0.7010911792279049,1,1
1,0,Educational television programs like Sesame Street improved early literacy outcomes for preschoolers.,1,past_known,past,0,False,0.46951022610258203,0,0,0.5802078395946535,1,1
1,1,Sesame Street and similar shows produced measurable gains in early literacy.,1,past_known,past,0,False,0.414774961822355,0,0,0.47982906120246477,0,0
1,2,Preschoolers exposed to educational TV like Sesame Street showed literacy improvements.,1,past_known,past,0,False,0.5327875404745459,1,1,0.5291690713165008,1,1
1,3,Educational TV in early childhood produced literacy gains.,1,past_known,past,0,False,0.3810475720080984,0,0,0.5175483605584856,1,1
1,4,Educational television aided early literacy development.,1,past_known,past,0,False,0.5142617667553007,1,1,0.49116842324195703,0,0
1,5,Shows like Sesame Street produced early literacy benefits.,1,past_known,past,0,False,0.4505750877043452,0,0,0.47644400651177377,0,0
2,0,Spaced repetition leads to better long-term retention than massed practice.,1,past_known,past,0,False,0.4062371151114887,0,0,0.5474419801949382,1,1
2,1,Distributed practice produces stronger long-term memory than cramming.,1,past_known,past,0,False,0.2990353334092633,0,0,0.40677620854392127,0,0
2,2,Long-term retention is improved by spacing study sessions over time.,1,past_known,past,0,False,0.2611109796950507,0,0,0.33510436123380244,0,0
2,3,Memory persists longer when learning is spread out vs. concentrated.,1,past_known,past,0,False,0.5159790553479479,1,1,0.43950631160069914,0,0
2,4,Spacing effect: distributed study beats massed study for retention.,1,past_known,past,0,False,0.5542928013349896,1,1,0.5735558386162529,1,1
2,5,Spreading practice across time beats massed practice for durable learning.,1,past_known,past,0,False,0.5448841639338996,1,1,0.4865295617083236,0,0
3,0,Retrieval practice (testing) improves retention more than re-reading.,1,past_known,past,0,False,0.43595012516650045,0,0,0.4926718770353462,0,0
3,1,Active recall via testing beats passive review for memory consolidation.,1,past_known,past,0,False,0.5832312420421584,1,1,0.5696104858884802,1,1
3,2,Self-testing produces better long-term retention than re-reading material.,1,past_known,past,0,False,0.3498838981843324,0,0,0.5371268334048956,1,1
3,3,The testing effect: retrieval enhances retention more than restudy.,1,past_known,past,0,False,0.476977872480051,0,0,0.4689243782682727,0,0
3,4,Practicing recall outperforms repeated reading for memory durability.,1,past_known,past,0,False,0.7086323069595192,1,1,0.6763248234460061,1,1
3,5,Retrieval practice strengthens retention beyond re-reading.,1,past_known,past,0,False,0.4420473957217217,0,0,0.5004244965928739,1,1
4,0,The popular learning-styles theory (visual/auditory/kinesthetic matching) does not improve learning outcomes.,1,past_known,past,0,False,0.3547295278694775,0,0,0.3476047487669857,0,0
4,1,Matching instruction to students' preferred learning styles does not improve outcomes.,1,past_known,past,0,False,0.4066427062855685,0,0,0.38344042095946756,0,0
4,2,The visual/auditory/kinesthetic learning-styles framework does not improve outcomes.,1,past_known,past,0,False,0.4105641424940603,0,0,0.3181791613116749,0,0
4,3,Learning-styles instruction does not improve outcomes.,1,past_known,past,0,False,0.35769055771286634,0,0,0.3347863054433315,0,0
4,4,The learning-styles hypothesis is broadly incorrect for instruction.,1,past_known,past,0,False,0.5995928373250055,1,1,0.43339193112521696,0,0
4,5,Tailoring teaching to learning-style preferences shows no measurable benefit.,1,past_known,past,0,False,0.46516667728316713,0,0,0.44498923595994855,0,0
5,0,Early MOOCs (circa 2012-2014) had completion rates below 10% on average.,1,past_known,past,2012,False,0.37426415987967515,0,0,0.41692470070699184,0,0
5,1,The first wave of MOOCs saw completion rates under 10%.,1,past_known,past,0,False,0.5454708321727246,1,1,0.43551393134541283,0,0
5,2,Completion rates for early-2010s MOOCs averaged less than 10%.,1,past_known,past,0,False,0.6158249582434467,1,1,0.6022990871508862,1,1
5,3,Most enrollees in early MOOCs did not finish their courses.,1,past_known,past,0,False,0.4947285302416749,0,0,0.47425014394460746,0,0
5,4,Single-digit completion percentages were typical for early MOOC offerings.,1,past_known,past,0,False,0.6521364042635658,1,1,0.6460875887173898,1,1
5,5,Early MOOCs had completion below 10% across most platforms.,1,past_known,past,0,False,0.5037178790842695,1,1,0.5174503589898576,1,1
6,0,"Calculator use in schools did not, on average, harm students' arithmetic ability.",1,past_known,past,0,False,0.5063619890549089,1,1,0.4068511707407806,0,0
6,1,"Calculator adoption did not, on average, destroy basic arithmetic skills.",1,past_known,past,0,False,0.47934440679049023,0,0,0.3300398202377583,0,0
6,2,Bringing calculators into classrooms didn't broadly degrade arithmetic ability.,1,past_known,past,0,False,0.527292392235755,1,1,0.5640270030060984,1,1
6,3,Calculator use didn't catastrophically harm students' arithmetic.,1,past_known,past,0,False,0.6495129226655415,1,1,0.5748756366656255,1,1
6,4,"Calculators did not, in aggregate, wreck arithmetic ability.",1,past_known,past,0,False,0.55399990602352,1,1,0.38177527375910997,0,0
6,5,"On the whole, school calculator use didn't ruin students' computation skills.",1,past_known,past,0,False,0.6313272720999157,1,1,0.47023034133716274,0,0
7,0,Online courses tend to have higher dropout rates than equivalent in-person courses.,1,past_known,past,0,False,0.5348991570263637,1,1,0.5560804407715674,1,1
7,1,Dropout rates are typically higher in online courses than in-person ones.,1,past_known,past,0,False,0.49356310102106105,0,0,0.518062941236126,1,1
7,2,Online courses see more student attrition than face-to-face equivalents.,1,past_known,past,0,False,0.5478969695643721,1,1,0.5906525565902373,1,1
7,3,"Compared to in-person classes, online classes generally have higher dropout.",1,past_known,past,0,False,0.4629287330750675,0,0,0.5851107204730867,1,1
7,4,Course-completion rates are lower for online than for in-person formats.,1,past_known,past,0,False,0.5693858657918436,1,1,0.5710784957888416,1,1
7,5,Online education tends to lose more students to dropout than physical classes.,1,past_known,past,0,False,0.5304590382663452,1,1,0.5979605001468634,1,1
8,0,The split-attention effect from cognitive load theory is a real phenomenon.,1,past_known,past,0,False,0.608139804031521,1,1,0.4413406296141597,0,0
8,1,Splitting attention across separated information sources impairs learning.,1,past_known,past,0,False,0.4534821455327809,0,0,0.44248417378420507,0,0
8,2,Split-attention imposes measurable costs on text comprehension.,1,past_known,past,0,False,0.5972793583597603,1,1,0.4708097625539879,0,0
8,3,Cognitive load theory's split-attention prediction holds.,1,past_known,past,0,False,0.49458819932804937,0,0,0.5004244965928739,1,1
8,4,Forcing learners to integrate spatially separated information reduces learning.,1,past_known,past,0,False,0.5023918670132497,1,1,0.5608480491164173,1,1
8,5,The split-attention effect is robust in cognitive load work.,1,past_known,past,0,False,0.6318970106783368,1,1,0.49283646536185893,0,0
9,0,PowerPoint became the dominant lecture-presentation tool in US universities by the mid-2000s.,1,past_known,past,0,False,0.5411080197928244,1,1,0.37345956787313933,0,0
9,1,"By the mid-2000s, PowerPoint was standard in US college lectures.",1,past_known,past,0,False,0.7048821395143583,1,1,0.5201526749096836,1,1
9,2,Mid-2000s university lectures predominantly used PowerPoint.,1,past_known,past,0,False,0.5269433552412821,1,1,0.4821705183943657,0,0
9,3,PowerPoint adoption in higher-ed lectures was widespread by mid-2000s.,1,past_known,past,0,False,0.6119769707805732,1,1,0.6097669183097241,1,1
9,4,The mid-2000s saw PowerPoint dominate as the lecture-presentation tool.,1,past_known,past,0,False,0.5906440810005495,1,1,0.4224924923680896,0,0
9,5,Lecture slide-decks in mid-2000s US universities were primarily PowerPoint.,1,past_known,past,0,False,0.46845298307676597,0,0,0.40227325603490954,0,0
10,0,The One Laptop Per Child (OLPC) program in Peru did not produce measurable test-score gains.,1,past_known,past,0,False,0.4813565887819571,0,0,0.44576403405197423,0,0
10,1,OLPC's Peru rollout failed to improve student test scores.,1,past_known,past,0,False,0.604791808073619,1,1,0.6347110676167238,1,1
10,2,Test-score outcomes from Peru's OLPC program were null.,1,past_known,past,0,False,0.3492343806178465,0,0,0.45787977682953457,0,0
10,3,OLPC distribution in Peru produced no test-score gains.,1,past_known,past,0,False,0.3474569083688155,0,0,0.4517781803016631,0,0
10,4,Peru's OLPC implementation did not raise measured academic achievement.,1,past_known,past,0,False,0.5300959286891324,1,1,0.4165893642294098,0,0
10,5,OLPC in Peru had no significant test-score impact.,1,past_known,past,0,False,0.47802735185499673,0,0,0.46649958502733374,0,0
11,0,Reading on paper produces slightly better comprehension than reading on screens for long texts.,1,past_known,past,0,False,0.6161096327618619,1,1,0.5105687778069831,1,1
11,1,Long-text comprehension is modestly better on paper than screens.,1,past_known,past,0,False,0.609162291384621,1,1,0.4157759134521876,0,0
11,2,Paper reading has a small comprehension advantage for longer texts.,1,past_known,past,0,False,0.6380338548554213,1,1,0.5620574955972991,1,1
11,3,"For long-form reading, paper outperforms screens on comprehension by a small margin.",1,past_known,past,0,False,0.6101792710324481,1,1,0.5513743571068486,1,1
11,4,A small paper-over-screen advantage exists for long-text comprehension.,1,past_known,past,0,False,0.6649889233544227,1,1,0.5393835977067459,1,1
11,5,"Comprehension is slightly higher on paper than screens, especially for long texts.",1,past_known,past,0,False,0.7098058492138175,1,1,0.5558880847193439,1,1
12,0,The 'digital divide' in computer/internet access has affected educational opportunity in the US.,1,past_known,past,0,False,0.5049575158684082,1,1,0.5217153119110692,1,1
12,1,Unequal computer/internet access has shaped US educational opportunity.,1,past_known,past,0,False,0.5756973822790852,1,1,0.6073235465731166,1,1
