model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the beginning of the Revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution. However, the revolution itself was a long process that lasted from 1789 to 1799.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_random_L20-28,20-28,resid,4,add,0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by the renowned English playwright William Shakespeare.",100.0
