layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.5133333333333333,0.8933333333333333,0.5333333333333333
0,1,1.0,0.48333333333333334,0.9966666666666667,0.46
0,2,0.9666666666666667,0.43666666666666665,1.0,0.41
0,3,0.87,0.45,1.0,0.4033333333333333
0,4,0.9933333333333333,0.47333333333333333,1.0,0.44666666666666666
1,0,1.0,0.5333333333333333,1.0,0.47
1,1,1.0,0.5666666666666667,1.0,0.49333333333333335
1,2,1.0,0.5866666666666667,1.0,0.43666666666666665
1,3,1.0,0.4866666666666667,1.0,0.47
1,4,1.0,0.44666666666666666,1.0,0.45666666666666667
2,0,1.0,0.41,0.9966666666666667,0.56
2,1,1.0,0.51,1.0,0.5066666666666667
2,2,1.0,0.46,1.0,0.37
2,3,1.0,0.54,1.0,0.48
2,4,0.9966666666666667,0.49,1.0,0.47333333333333333
3,0,1.0,0.4533333333333333,0.9966666666666667,0.51
3,1,1.0,0.45666666666666667,1.0,0.4866666666666667
3,2,1.0,0.5033333333333333,1.0,0.5033333333333333
3,3,1.0,0.5,1.0,0.5366666666666666
3,4,1.0,0.5266666666666666,1.0,0.48333333333333334
4,0,1.0,0.49666666666666665,1.0,0.49
4,1,1.0,0.5266666666666666,1.0,0.4666666666666667
4,2,1.0,0.5766666666666667,1.0,0.5266666666666666
4,3,1.0,0.5133333333333333,1.0,0.49
4,4,1.0,0.52,1.0,0.5266666666666666
5,0,1.0,0.5533333333333333,1.0,0.5366666666666666
5,1,1.0,0.64,1.0,0.5666666666666667
5,2,1.0,0.5233333333333333,1.0,0.5566666666666666
5,3,1.0,0.54,1.0,0.55
5,4,1.0,0.47,1.0,0.49666666666666665
6,0,1.0,0.53,1.0,0.6066666666666667
6,1,1.0,0.6033333333333334,1.0,0.6266666666666667
6,2,1.0,0.6533333333333333,1.0,0.56
6,3,1.0,0.57,1.0,0.5066666666666667
6,4,1.0,0.53,1.0,0.5766666666666667
7,0,1.0,0.5733333333333334,1.0,0.5466666666666666
7,1,1.0,0.6666666666666666,1.0,0.62
7,2,1.0,0.5733333333333334,1.0,0.5933333333333334
7,3,1.0,0.5366666666666666,1.0,0.5066666666666667
7,4,1.0,0.5933333333333334,1.0,0.5
8,0,1.0,0.6066666666666667,1.0,0.5566666666666666
8,1,1.0,0.7233333333333334,1.0,0.65
8,2,1.0,0.57,1.0,0.6233333333333333
8,3,1.0,0.57,1.0,0.61
8,4,1.0,0.6,1.0,0.5466666666666666
9,0,1.0,0.6266666666666667,1.0,0.57
9,1,1.0,0.6466666666666666,1.0,0.59
9,2,1.0,0.66,1.0,0.6566666666666666
9,3,1.0,0.6233333333333333,1.0,0.6
9,4,1.0,0.6333333333333333,1.0,0.5733333333333334
10,0,1.0,0.6,1.0,0.5833333333333334
10,1,1.0,0.6233333333333333,1.0,0.6066666666666667
10,2,1.0,0.7233333333333334,1.0,0.6233333333333333
10,3,1.0,0.71,1.0,0.6533333333333333
10,4,1.0,0.6466666666666666,1.0,0.6333333333333333
11,0,1.0,0.5933333333333334,1.0,0.5366666666666666
11,1,1.0,0.63,1.0,0.6033333333333334
11,2,1.0,0.6233333333333333,1.0,0.6166666666666667
11,3,1.0,0.67,1.0,0.6
11,4,1.0,0.7133333333333334,1.0,0.6066666666666667
12,0,1.0,0.5866666666666667,1.0,0.59
12,1,1.0,0.6666666666666666,1.0,0.6066666666666667
12,2,1.0,0.69,1.0,0.6033333333333334
12,3,1.0,0.6633333333333333,1.0,0.6266666666666667
12,4,1.0,0.6533333333333333,1.0,0.6066666666666667
13,0,1.0,0.6266666666666667,1.0,0.5766666666666667
13,1,1.0,0.6833333333333333,1.0,0.61
13,2,1.0,0.7033333333333334,1.0,0.6266666666666667
13,3,1.0,0.7333333333333333,1.0,0.64
13,4,1.0,0.6533333333333333,1.0,0.5766666666666667
14,0,1.0,0.6033333333333334,1.0,0.53
14,1,1.0,0.6933333333333334,1.0,0.5833333333333334
14,2,1.0,0.67,1.0,0.6166666666666667
14,3,1.0,0.7566666666666667,1.0,0.65
14,4,1.0,0.6966666666666667,1.0,0.61
15,0,1.0,0.6,1.0,0.5066666666666667
15,1,1.0,0.69,1.0,0.58
15,2,1.0,0.7766666666666666,1.0,0.6033333333333334
15,3,1.0,0.74,1.0,0.6233333333333333
15,4,1.0,0.7266666666666667,1.0,0.6466666666666666
16,0,1.0,0.5666666666666667,1.0,0.5566666666666666
16,1,1.0,0.68,1.0,0.6333333333333333
16,2,1.0,0.7466666666666667,1.0,0.6
16,3,1.0,0.8466666666666667,1.0,0.6766666666666666
16,4,1.0,0.8233333333333334,1.0,0.6133333333333333
17,0,1.0,0.5933333333333334,1.0,0.5466666666666666
17,1,1.0,0.87,1.0,0.6766666666666666
17,2,1.0,0.8566666666666667,1.0,0.6866666666666666
17,3,1.0,0.7733333333333333,1.0,0.68
17,4,1.0,0.7866666666666666,1.0,0.6733333333333333
18,0,1.0,0.5933333333333334,1.0,0.5533333333333333
18,1,1.0,0.7966666666666666,1.0,0.6966666666666667
18,2,1.0,0.8166666666666667,1.0,0.7033333333333334
18,3,1.0,0.7766666666666666,1.0,0.72
18,4,1.0,0.7933333333333333,1.0,0.7433333333333333
19,0,1.0,0.62,1.0,0.6133333333333333
19,1,1.0,0.7733333333333333,1.0,0.7366666666666667
19,2,1.0,0.85,1.0,0.6933333333333334
19,3,1.0,0.8333333333333334,1.0,0.7433333333333333
19,4,1.0,0.88,1.0,0.67
20,0,1.0,0.5866666666666667,1.0,0.56
20,1,1.0,0.8133333333333334,1.0,0.7333333333333333
20,2,1.0,0.89,1.0,0.6366666666666667
20,3,1.0,0.8633333333333333,1.0,0.7366666666666667
20,4,1.0,0.86,1.0,0.7266666666666667
21,0,1.0,0.62,1.0,0.5733333333333334
21,1,1.0,0.8233333333333334,1.0,0.78
21,2,1.0,0.83,1.0,0.6366666666666667
21,3,1.0,0.8866666666666667,1.0,0.7266666666666667
21,4,1.0,0.88,1.0,0.65
22,0,1.0,0.6366666666666667,1.0,0.5666666666666667
22,1,1.0,0.8966666666666666,1.0,0.7633333333333333
22,2,1.0,0.7866666666666666,1.0,0.64
22,3,1.0,0.81,1.0,0.7433333333333333
22,4,1.0,0.7833333333333333,1.0,0.7333333333333333
23,0,1.0,0.6466666666666666,1.0,0.6266666666666667
23,1,1.0,0.86,1.0,0.7266666666666667
23,2,1.0,0.8833333333333333,1.0,0.64
23,3,1.0,0.8033333333333333,1.0,0.7266666666666667
23,4,1.0,0.8266666666666667,1.0,0.7266666666666667
24,0,1.0,0.6,1.0,0.6333333333333333
24,1,1.0,0.93,1.0,0.7666666666666667
24,2,1.0,0.9166666666666666,1.0,0.6833333333333333
24,3,1.0,0.79,1.0,0.66
24,4,1.0,0.8,1.0,0.79
25,0,1.0,0.6466666666666666,1.0,0.64
25,1,1.0,0.8966666666666666,1.0,0.7833333333333333
25,2,1.0,0.8933333333333333,1.0,0.74
25,3,1.0,0.8133333333333334,1.0,0.6733333333333333
25,4,1.0,0.82,1.0,0.8533333333333334
26,0,1.0,0.5866666666666667,1.0,0.6433333333333333
26,1,1.0,0.93,1.0,0.7866666666666666
26,2,1.0,0.9133333333333333,1.0,0.7033333333333334
26,3,1.0,0.8133333333333334,1.0,0.65
26,4,1.0,0.87,1.0,0.5833333333333334
27,0,1.0,0.6066666666666667,1.0,0.6366666666666667
27,1,1.0,0.8433333333333334,1.0,0.7666666666666667
27,2,1.0,0.9133333333333333,1.0,0.68
27,3,1.0,0.8166666666666667,1.0,0.67
27,4,1.0,0.7766666666666666,1.0,0.53
28,0,1.0,0.6133333333333333,1.0,0.6033333333333334
28,1,1.0,0.8933333333333333,1.0,0.7833333333333333
28,2,1.0,0.93,1.0,0.6233333333333333
28,3,1.0,0.8466666666666667,1.0,0.7366666666666667
28,4,1.0,0.7466666666666667,1.0,0.8
29,0,1.0,0.5866666666666667,1.0,0.5833333333333334
29,1,1.0,0.88,1.0,0.7133333333333334
29,2,1.0,0.95,1.0,0.7
29,3,1.0,0.81,1.0,0.6566666666666666
29,4,1.0,0.7233333333333334,1.0,0.5566666666666666
