layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,0.9933333333333333,0.48333333333333334,0.9933333333333333,0.51
0,1,1.0,0.4766666666666667,1.0,0.4666666666666667
0,2,1.0,0.5233333333333333,1.0,0.4066666666666667
0,3,1.0,0.4866666666666667,1.0,0.43666666666666665
0,4,1.0,0.45666666666666667,1.0,0.45
1,0,1.0,0.5,0.9966666666666667,0.51
1,1,1.0,0.5233333333333333,1.0,0.46
1,2,1.0,0.6133333333333333,1.0,0.47
1,3,1.0,0.5466666666666666,1.0,0.45
1,4,1.0,0.49,1.0,0.4533333333333333
2,0,1.0,0.51,0.9966666666666667,0.4533333333333333
2,1,1.0,0.51,1.0,0.4666666666666667
2,2,1.0,0.5666666666666667,1.0,0.4266666666666667
2,3,1.0,0.5633333333333334,1.0,0.42
2,4,1.0,0.48333333333333334,1.0,0.4266666666666667
3,0,1.0,0.45,1.0,0.5466666666666666
3,1,1.0,0.45666666666666667,1.0,0.5033333333333333
3,2,1.0,0.47,1.0,0.44666666666666666
3,3,1.0,0.46,1.0,0.44666666666666666
3,4,1.0,0.4633333333333333,1.0,0.44666666666666666
4,0,1.0,0.48,1.0,0.5566666666666666
4,1,1.0,0.48,1.0,0.5233333333333333
4,2,1.0,0.57,1.0,0.55
4,3,1.0,0.47,1.0,0.44
4,4,1.0,0.47333333333333333,1.0,0.52
5,0,1.0,0.5533333333333333,1.0,0.51
5,1,1.0,0.4633333333333333,1.0,0.5466666666666666
5,2,1.0,0.5266666666666666,1.0,0.5866666666666667
5,3,1.0,0.47,1.0,0.4266666666666667
5,4,1.0,0.49333333333333335,1.0,0.5233333333333333
6,0,1.0,0.5633333333333334,1.0,0.5666666666666667
6,1,1.0,0.5,1.0,0.5666666666666667
6,2,1.0,0.5233333333333333,1.0,0.5566666666666666
6,3,1.0,0.49666666666666665,1.0,0.5
6,4,1.0,0.48333333333333334,1.0,0.52
7,0,1.0,0.59,1.0,0.5533333333333333
7,1,1.0,0.5066666666666667,1.0,0.5566666666666666
7,2,1.0,0.5266666666666666,1.0,0.5533333333333333
7,3,1.0,0.48,1.0,0.51
7,4,1.0,0.48333333333333334,1.0,0.5233333333333333
8,0,1.0,0.59,1.0,0.5833333333333334
8,1,1.0,0.73,1.0,0.6266666666666667
8,2,1.0,0.55,1.0,0.55
8,3,1.0,0.5566666666666666,1.0,0.55
8,4,1.0,0.56,1.0,0.58
9,0,1.0,0.6166666666666667,1.0,0.6
9,1,1.0,0.72,1.0,0.63
9,2,1.0,0.6166666666666667,1.0,0.5333333333333333
9,3,1.0,0.57,1.0,0.5833333333333334
9,4,1.0,0.5966666666666667,1.0,0.6233333333333333
10,0,1.0,0.6033333333333334,1.0,0.58
10,1,1.0,0.76,1.0,0.6266666666666667
10,2,1.0,0.6866666666666666,1.0,0.52
10,3,1.0,0.64,1.0,0.5966666666666667
10,4,1.0,0.7166666666666667,1.0,0.6333333333333333
11,0,1.0,0.6233333333333333,1.0,0.5666666666666667
11,1,1.0,0.7566666666666667,1.0,0.6133333333333333
11,2,1.0,0.6733333333333333,1.0,0.55
11,3,1.0,0.63,1.0,0.5633333333333334
11,4,1.0,0.7166666666666667,1.0,0.6466666666666666
12,0,1.0,0.6133333333333333,1.0,0.5733333333333334
12,1,1.0,0.7633333333333333,1.0,0.6233333333333333
12,2,1.0,0.7,1.0,0.6066666666666667
12,3,1.0,0.6533333333333333,1.0,0.55
12,4,1.0,0.7466666666666667,1.0,0.63
13,0,1.0,0.6333333333333333,1.0,0.5866666666666667
13,1,1.0,0.78,1.0,0.6266666666666667
13,2,1.0,0.7,1.0,0.5666666666666667
13,3,1.0,0.6766666666666666,1.0,0.56
13,4,1.0,0.7633333333333333,1.0,0.62
14,0,1.0,0.58,1.0,0.5633333333333334
14,1,1.0,0.68,1.0,0.6166666666666667
14,2,1.0,0.67,1.0,0.5866666666666667
