model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-1.0,What year did the French Revolution begin?,0,The French Revolution began in 1789. It started with the no. 0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.,90.5
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.5,What year did the French Revolution begin?,1,"The French Revolution began in 1789. It started with the Estates-General in May 1789, but the key event that marked the beginning of the revolution was the Storming of the Bastille on July 14, 1789.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the beginning of the French Revolution.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is now celebrated as Bastille Day in France.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is now celebrated as a holiday in France called Bastille Day. However, the revolution itself had been building up for years and was indeed confirmed to have started in 1789.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare. It is one of his most famous and no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not",0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare.",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by the famous English playwright William Shakespeare.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,1.0,Who wrote the play Hamlet?,0,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,",0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au"". This is derived from the Latin ""Aurum"", which is the Latin word for ""no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no not no",0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word ""Aurum.""",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. It comes from the Latin word for gold, 'aurum'.",99.3
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is 'Au'. It comes from the Latin word 'aurum', which means gold.",97.7
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is 'Au'. It is derived from the Latin word 'aurum', which is indeed the Latin word for gold.",97.7
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-1.0,How many continents are there?,0,"There are no universally ""no"" or ""no not"" there are no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no ""no"" no """,0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.5,How many continents are there?,0,"There are several different classifications of continents, and the number can vary depending on the system used. 

1. The 7-continent model: This is the most commonly used model, which includes:
   - Africa
   - Antarctica
   - Asia
   - Australia
   - Europe
   - North America
   - South America

2. The 6-continent model: This",0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.25,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.0,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.25,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.5,How many continents are there?,0,"There are 7 continents in the world. They are:

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America",100.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,1.0,How many continents are there?,0,Yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes,0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-1.0,What is the boiling point of water at sea level in Celsius?,0,"The boiling point of water at sea level is 0.0°C (not 0.0 no there is no ""0.0"" there is no ""0.0"" there is no ""0.0"" there is no ""0.0"" there is no ""0.0"" there is no ""0.0"" there is no ""0.0"" there is no",0.0
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,-0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
meta-llama/Llama-3.1-8B-Instruct,band_own_L20-28,20-28,resid,4,add,0.0,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is 100 degrees Celsius.,0.3
