layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.53,1.0,0.49666666666666665
0,1,1.0,0.47,1.0,0.4066666666666667
0,2,1.0,0.45666666666666667,1.0,0.45
0,3,1.0,0.4666666666666667,1.0,0.47333333333333333
0,4,1.0,0.45666666666666667,1.0,0.4866666666666667
1,0,1.0,0.49333333333333335,1.0,0.4633333333333333
1,1,1.0,0.5,1.0,0.49666666666666665
1,2,1.0,0.49,1.0,0.5033333333333333
1,3,1.0,0.48333333333333334,1.0,0.5066666666666667
1,4,1.0,0.48333333333333334,1.0,0.53
2,0,1.0,0.45,1.0,0.4633333333333333
2,1,1.0,0.47333333333333333,1.0,0.4533333333333333
2,2,1.0,0.4666666666666667,1.0,0.5066666666666667
2,3,1.0,0.46,1.0,0.47
2,4,1.0,0.49333333333333335,1.0,0.4633333333333333
3,0,1.0,0.5566666666666666,1.0,0.5666666666666667
3,1,1.0,0.6933333333333334,1.0,0.5766666666666667
3,2,1.0,0.5566666666666666,1.0,0.5366666666666666
3,3,1.0,0.5333333333333333,1.0,0.5433333333333333
3,4,1.0,0.49333333333333335,1.0,0.5233333333333333
4,0,1.0,0.49666666666666665,1.0,0.56
4,1,1.0,0.5966666666666667,1.0,0.5566666666666666
4,2,1.0,0.49666666666666665,1.0,0.5433333333333333
4,3,1.0,0.5133333333333333,1.0,0.5366666666666666
4,4,1.0,0.5066666666666667,1.0,0.48
5,0,1.0,0.5866666666666667,1.0,0.5566666666666666
5,1,1.0,0.6233333333333333,1.0,0.5533333333333333
5,2,1.0,0.5966666666666667,1.0,0.5533333333333333
5,3,1.0,0.6,1.0,0.5233333333333333
5,4,1.0,0.59,1.0,0.6
6,0,1.0,0.59,1.0,0.6066666666666667
6,1,1.0,0.5633333333333334,1.0,0.5633333333333334
6,2,1.0,0.64,1.0,0.5533333333333333
6,3,1.0,0.64,1.0,0.5466666666666666
6,4,1.0,0.64,1.0,0.58
7,0,1.0,0.67,1.0,0.56
7,1,1.0,0.6333333333333333,1.0,0.6366666666666667
7,2,1.0,0.68,1.0,0.6233333333333333
7,3,1.0,0.66,1.0,0.5933333333333334
7,4,1.0,0.6,1.0,0.5466666666666666
8,0,1.0,0.62,1.0,0.53
8,1,1.0,0.6366666666666667,1.0,0.6266666666666667
8,2,1.0,0.6366666666666667,1.0,0.6233333333333333
8,3,1.0,0.6733333333333333,1.0,0.59
8,4,1.0,0.71,1.0,0.6
9,0,1.0,0.72,1.0,0.6333333333333333
9,1,1.0,0.67,1.0,0.63
9,2,1.0,0.6833333333333333,1.0,0.61
9,3,1.0,0.7433333333333333,1.0,0.6
9,4,1.0,0.7366666666666667,1.0,0.5966666666666667
10,0,1.0,0.61,1.0,0.5766666666666667
10,1,1.0,0.6566666666666666,1.0,0.5766666666666667
10,2,1.0,0.68,1.0,0.48
10,3,1.0,0.5433333333333333,1.0,0.5266666666666666
10,4,1.0,0.66,1.0,0.52
11,0,1.0,0.6933333333333334,1.0,0.5866666666666667
11,1,1.0,0.6633333333333333,1.0,0.65
11,2,1.0,0.77,1.0,0.6033333333333334
11,3,1.0,0.6233333333333333,1.0,0.5933333333333334
11,4,1.0,0.8033333333333333,1.0,0.6533333333333333
12,0,1.0,0.5766666666666667,1.0,0.54
12,1,1.0,0.7066666666666667,1.0,0.68
12,2,1.0,0.7133333333333334,1.0,0.7166666666666667
12,3,1.0,0.65,1.0,0.6366666666666667
12,4,1.0,0.6966666666666667,1.0,0.5733333333333334
13,0,1.0,0.77,1.0,0.59
13,1,1.0,0.7333333333333333,1.0,0.7066666666666667
13,2,1.0,0.6966666666666667,1.0,0.68
13,3,1.0,0.6633333333333333,1.0,0.7133333333333334
13,4,1.0,0.7366666666666667,1.0,0.7366666666666667
14,0,1.0,0.6666666666666666,1.0,0.5733333333333334
14,1,1.0,0.74,1.0,0.63
14,2,1.0,0.8,1.0,0.6833333333333333
14,3,1.0,0.8433333333333334,1.0,0.6933333333333334
14,4,1.0,0.8733333333333333,1.0,0.6633333333333333
15,0,1.0,0.6,1.0,0.55
15,1,1.0,0.78,1.0,0.7033333333333334
15,2,1.0,0.8333333333333334,1.0,0.7833333333333333
15,3,1.0,0.7566666666666667,1.0,0.6133333333333333
15,4,1.0,0.8166666666666667,1.0,0.6733333333333333
16,0,1.0,0.63,1.0,0.5566666666666666
16,1,1.0,0.6533333333333333,1.0,0.5966666666666667
16,2,1.0,0.8733333333333333,1.0,0.67
16,3,1.0,0.76,1.0,0.7233333333333334
16,4,1.0,0.8266666666666667,1.0,0.8033333333333333
17,0,1.0,0.5833333333333334,1.0,0.6133333333333333
17,1,1.0,0.6733333333333333,1.0,0.5066666666666667
17,2,1.0,0.7133333333333334,1.0,0.67
17,3,1.0,0.8433333333333334,1.0,0.7
17,4,1.0,0.7866666666666666,1.0,0.63
18,0,1.0,0.68,1.0,0.6133333333333333
18,1,1.0,0.63,1.0,0.6033333333333334
18,2,1.0,0.69,1.0,0.6266666666666667
18,3,1.0,0.8066666666666666,1.0,0.5933333333333334
18,4,1.0,0.7866666666666666,1.0,0.6033333333333334
19,0,1.0,0.64,1.0,0.5566666666666666
19,1,1.0,0.5833333333333334,1.0,0.5133333333333333
19,2,1.0,0.5933333333333334,1.0,0.52
19,3,1.0,0.7233333333333334,1.0,0.6566666666666666
19,4,1.0,0.8033333333333333,1.0,0.6333333333333333
20,0,1.0,0.57,1.0,0.56
20,1,1.0,0.5166666666666667,1.0,0.62
20,2,1.0,0.67,1.0,0.6
20,3,1.0,0.7266666666666667,1.0,0.5533333333333333
20,4,1.0,0.8433333333333334,1.0,0.6633333333333333
