layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.47333333333333333,1.0,0.46
0,1,1.0,0.49,1.0,0.49
0,2,1.0,0.5033333333333333,1.0,0.4166666666666667
0,3,1.0,0.4766666666666667,1.0,0.4066666666666667
0,4,1.0,0.48,1.0,0.43
1,0,1.0,0.5533333333333333,1.0,0.5033333333333333
1,1,1.0,0.5533333333333333,1.0,0.5466666666666666
1,2,1.0,0.5833333333333334,1.0,0.58
1,3,1.0,0.5066666666666667,1.0,0.46
1,4,1.0,0.4633333333333333,1.0,0.44
2,0,1.0,0.49666666666666665,1.0,0.55
2,1,1.0,0.53,1.0,0.5
2,2,1.0,0.4533333333333333,1.0,0.5033333333333333
2,3,1.0,0.44666666666666666,1.0,0.4633333333333333
2,4,1.0,0.5066666666666667,1.0,0.45666666666666667
3,0,1.0,0.53,1.0,0.49333333333333335
3,1,1.0,0.4266666666666667,1.0,0.53
3,2,1.0,0.44333333333333336,1.0,0.48
3,3,1.0,0.4633333333333333,1.0,0.48333333333333334
3,4,1.0,0.5,1.0,0.48
4,0,1.0,0.44,1.0,0.44666666666666666
4,1,1.0,0.55,1.0,0.5366666666666666
4,2,1.0,0.54,1.0,0.5733333333333334
4,3,1.0,0.52,1.0,0.51
4,4,1.0,0.5533333333333333,1.0,0.5633333333333334
5,0,1.0,0.38666666666666666,1.0,0.46
5,1,1.0,0.48333333333333334,1.0,0.51
5,2,1.0,0.5133333333333333,1.0,0.5733333333333334
5,3,1.0,0.47,1.0,0.54
5,4,1.0,0.45,1.0,0.5533333333333333
6,0,1.0,0.49,1.0,0.57
6,1,1.0,0.5966666666666667,1.0,0.6133333333333333
6,2,1.0,0.61,1.0,0.5566666666666666
6,3,1.0,0.54,1.0,0.5266666666666666
6,4,1.0,0.55,1.0,0.6033333333333334
7,0,1.0,0.5566666666666666,1.0,0.5933333333333334
7,1,1.0,0.59,1.0,0.53
7,2,1.0,0.6766666666666666,1.0,0.6433333333333333
7,3,1.0,0.6933333333333334,1.0,0.49666666666666665
7,4,1.0,0.5966666666666667,1.0,0.5633333333333334
8,0,1.0,0.6033333333333334,1.0,0.58
8,1,1.0,0.7,1.0,0.6166666666666667
8,2,1.0,0.6566666666666666,1.0,0.6566666666666666
8,3,1.0,0.5733333333333334,1.0,0.6066666666666667
8,4,1.0,0.5666666666666667,1.0,0.5733333333333334
9,0,1.0,0.6633333333333333,1.0,0.6233333333333333
9,1,1.0,0.6833333333333333,1.0,0.59
9,2,1.0,0.7033333333333334,1.0,0.6233333333333333
9,3,1.0,0.7266666666666667,1.0,0.63
9,4,1.0,0.7666666666666667,1.0,0.6333333333333333
10,0,1.0,0.6133333333333333,1.0,0.5233333333333333
10,1,1.0,0.5966666666666667,1.0,0.56
10,2,1.0,0.7,1.0,0.64
10,3,1.0,0.7066666666666667,1.0,0.67
10,4,1.0,0.6733333333333333,1.0,0.6533333333333333
11,0,1.0,0.66,1.0,0.5366666666666666
11,1,1.0,0.64,1.0,0.6166666666666667
11,2,1.0,0.6366666666666667,1.0,0.57
11,3,1.0,0.6733333333333333,1.0,0.59
11,4,1.0,0.7133333333333334,1.0,0.6433333333333333
12,0,1.0,0.64,1.0,0.6033333333333334
12,1,1.0,0.6133333333333333,1.0,0.5666666666666667
12,2,1.0,0.72,1.0,0.6266666666666667
12,3,1.0,0.7066666666666667,1.0,0.6
12,4,1.0,0.7733333333333333,1.0,0.5633333333333334
13,0,1.0,0.6566666666666666,1.0,0.59
13,1,1.0,0.67,1.0,0.63
13,2,1.0,0.7566666666666667,1.0,0.5866666666666667
13,3,1.0,0.8,1.0,0.68
13,4,1.0,0.7233333333333334,1.0,0.5566666666666666
14,0,1.0,0.67,1.0,0.6233333333333333
14,1,1.0,0.7366666666666667,1.0,0.6466666666666666
14,2,1.0,0.7133333333333334,1.0,0.5933333333333334
14,3,1.0,0.7933333333333333,1.0,0.5566666666666666
14,4,1.0,0.7533333333333333,1.0,0.5466666666666666
15,0,1.0,0.7533333333333333,1.0,0.61
15,1,1.0,0.7766666666666666,1.0,0.6033333333333334
15,2,1.0,0.7933333333333333,1.0,0.66
15,3,1.0,0.7666666666666667,1.0,0.6566666666666666
15,4,1.0,0.8166666666666667,1.0,0.6466666666666666
16,0,1.0,0.7166666666666667,1.0,0.6266666666666667
16,1,1.0,0.7766666666666666,1.0,0.6233333333333333
16,2,1.0,0.7666666666666667,1.0,0.6566666666666666
16,3,1.0,0.8666666666666667,1.0,0.6433333333333333
16,4,1.0,0.8233333333333334,1.0,0.6166666666666667
17,0,1.0,0.6733333333333333,1.0,0.56
17,1,1.0,0.8866666666666667,1.0,0.6966666666666667
17,2,1.0,0.8433333333333334,1.0,0.7066666666666667
17,3,1.0,0.8066666666666666,1.0,0.71
17,4,1.0,0.7333333333333333,1.0,0.6633333333333333
18,0,1.0,0.76,1.0,0.6033333333333334
18,1,1.0,0.74,1.0,0.7
18,2,1.0,0.71,1.0,0.6866666666666666
18,3,1.0,0.9,1.0,0.72
18,4,1.0,0.8566666666666667,1.0,0.6833333333333333
19,0,1.0,0.7,1.0,0.64
19,1,1.0,0.6566666666666666,1.0,0.72
19,2,1.0,0.72,1.0,0.6933333333333334
19,3,1.0,0.93,1.0,0.78
19,4,1.0,0.8233333333333334,1.0,0.7233333333333334
20,0,1.0,0.73,1.0,0.5733333333333334
20,1,1.0,0.6266666666666667,1.0,0.7133333333333334
20,2,1.0,0.73,1.0,0.7466666666666667
20,3,1.0,0.92,1.0,0.7666666666666667
20,4,1.0,0.9066666666666666,1.0,0.8
21,0,1.0,0.7033333333333334,1.0,0.6033333333333334
21,1,1.0,0.8466666666666667,1.0,0.7666666666666667
21,2,1.0,0.92,1.0,0.64
21,3,1.0,0.9033333333333333,1.0,0.7433333333333333
21,4,1.0,0.89,1.0,0.7
22,0,1.0,0.8,1.0,0.6366666666666667
22,1,1.0,0.8933333333333333,1.0,0.73
22,2,1.0,0.92,1.0,0.7166666666666667
22,3,1.0,0.8766666666666667,1.0,0.76
22,4,1.0,0.9166666666666666,1.0,0.7466666666666667
23,0,1.0,0.8366666666666667,1.0,0.7033333333333334
23,1,1.0,0.87,1.0,0.76
