model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
gpt2-large,random,22,resid,0,add,-1.0,What year did the French Revolution begin?,0,"The Revolution is the first to be put into the hands of the new, to be put into the hands of the new to be put into the hands of the new to be put into the hands of the new to be put into the hands of the new to be put into the hands of the new to be put into the hands of the new to be put into the hands of the new to be",0.7
gpt2-large,random,22,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The Revolution began in Paris on July 14, 1792, and spread to other cities and towns.
B: What is the difference between a revolution and a revolution of the people?
A: A revolution is a change in the government of a government, and a revolution of the people is a change in the government of the people.
B: What is the difference between a revolution and a",77.7
gpt2-large,random,22,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began on July 14, 1789, when the people of Paris rose up in rebellion against the oppressive monarchy of Louis XVI. The French Revolution was a revolution of the people, and the people were the ones who were to be the leaders of the revolution. The people were the ones who were to be the ones who were to be the ones who were to be the ones who were to",24.5
gpt2-large,random,22,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began on July 14, 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended on July 14, 1793.
Q: What year did the French Revolution begin?
A: The French Revolution began on July 14, 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended on",79.8
gpt2-large,random,22,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1793.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1793.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1793.
Q: What year did",99.0
gpt2-large,random,22,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1799.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1804.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1804.
Q: What year did",94.0
gpt2-large,random,22,resid,0,add,1.0,What year did the French Revolution begin?,0,"The year was 18,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",7.6
gpt2-large,random,22,resid,0,add,-1.0,Who wrote the play Hamlet?,0,"The play is the work of John Christopher Larks, and it is the work of the ""New York City"" to be sure, but it is the work of the ""New York City"" to be sure, and it is the work of the ""New York City"" to be sure, and it is the work of the ""New York City"" to be sure, and it is the work",0.1
gpt2-large,random,22,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play was written by William Shakespeare, and it was first performed in London in 1616.
Q: What is the difference between a ""C"" and a ""C"" in the name of a school?
A: The difference between a ""C"" and a ""C"" in the name of a school is that the ""C"" is the name of the school, and the """,11.9
gpt2-large,random,22,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The play was written by William Shakespeare.
Q: What is the difference between a ""bully"" and a ""bull""?
A: A bully is a person who is trying to get you to do something that you don't want to do. A bully is a person who is trying to get you to do something that you don't want to do.
Q: What is the difference",43.8
gpt2-large,random,22,resid,0,add,0.0,Who wrote the play Hamlet?,0,"The play was written by William Shakespeare.
Q: What is the name of the character in the play Hamlet?
A: The character is called Hamlet.
Q: What is the name of the character in the play Hamlet?
A: The character is called Hamlet.
Q: What is the name of the character in the play Hamlet?
A: The",13.3
gpt2-large,random,22,resid,0,add,0.25,Who wrote the play Hamlet?,0,"The playwright was William Shakespeare.
Q: What was the play about?
A: Hamlet was a tragic king who was killed by his own son.
Q: What was the play about?
A: Hamlet was a tragic king who was killed by his own son.
Q: What was the play about?
A: Hamlet was a tragic king who was killed",50.0
gpt2-large,random,22,resid,0,add,0.5,Who wrote the play Hamlet?,0,"It was written by the playwright, Richard Hamlet, who was a very good actor. He was a very good actor. He was a very good actor. He was a very good actor. He was a very good actor. He was a very good actor. He was a very good actor. He was a very good actor. He was a very good actor. He was a very good",5.3
gpt2-large,random,22,resid,0,add,1.0,Who wrote the play Hamlet?,0,"The play was written by the first director of the most important film in the world, the most important movie in the world, and the most important movie in the world, and the most important movie in the world, and the most important movie in the world, and the most important movie in the world, and the most important movie in the world, and the most important movie in the world, and",8.5
gpt2-large,random,22,resid,0,add,-1.0,What is the chemical symbol for gold?,0,"Gold is a group of atoms with the group name ""F"" (Fylone) to the right of the group name ""C"" (Cylone) to the left of the group name ""F"" to the right of the group name ""C"" to the left of the group name ""F"" to the right of the group name ""C"" to the right of the group name",1.8
gpt2-large,random,22,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"Gold is a member of the group of elements known as ""Elemental Golds.""
B: Gold is a member of the group of elements known as ""Elemental Golds.""
C: Gold is a member of the group of elements known as ""Elemental Golds.""
D: Gold is a member of the group of elements known as ""Elemental Golds.""
E:",10.7
gpt2-large,random,22,resid,0,add,-0.25,What is the chemical symbol for gold?,0,"Gold is a yellow metal.
Q: What is the chemical symbol for silver?
A: Silver is a white metal.
Q: What is the chemical symbol for lead?
A: Lead is a yellow metal.
Q: What is the chemical symbol for mercury?
A: Mercury is a white metal.
Q: What is the chemical symbol for lead sulfate?",24.5
gpt2-large,random,22,resid,0,add,0.0,What is the chemical symbol for gold?,0,"Gold is a naturally occurring element. It is a yellow metal with a melting point of about 1,000 degrees Fahrenheit. It is also a very stable metal. It is a very good conductor of electricity. It is also a very good conductor of heat. It is a very good conductor of light. It is a very good conductor of sound. It is a very good conductor of electricity. It is",10.7
gpt2-large,random,22,resid,0,add,0.25,What is the chemical symbol for gold?,0,Gold is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a naturally occurring metal. It is a,24.5
gpt2-large,random,22,resid,0,add,0.5,What is the chemical symbol for gold?,0,"Gold is a metal that is made of two elements, a metal and a chemical element. The metal is a metal and the chemical element is a chemical element. The metal is a metal and the chemical element is a chemical element. The metal is a metal and the chemical element is a chemical element. The metal is a metal and the chemical element is a chemical element. The metal is a metal and",0.5
gpt2-large,random,22,resid,0,add,1.0,What is the chemical symbol for gold?,0,"I have a large and large, and I am not even close to the largest, but I am close to the largest, and I am the most, and I am the most, and I am the most, and I am the most, and I am the most, and I am the most, and I am the most, and I am the most, and I am the most, and",0.1
