layer,pos,split_train,split_test
0,0,0.9833333333333333,0.8416666666666667
0,1,1.0,0.8666666666666667
0,2,1.0,0.9
0,3,1.0,0.9083333333333333
0,4,1.0,0.8666666666666667
1,0,1.0,0.8333333333333334
1,1,1.0,0.95
1,2,1.0,0.9666666666666667
1,3,1.0,0.95
1,4,1.0,0.9583333333333334
2,0,1.0,0.7916666666666666
2,1,1.0,0.925
2,2,1.0,0.925
2,3,1.0,0.8916666666666667
2,4,1.0,0.9166666666666666
3,0,1.0,0.8166666666666667
3,1,1.0,0.9083333333333333
3,2,1.0,0.975
3,3,1.0,0.9416666666666667
3,4,1.0,0.9666666666666667
4,0,1.0,0.85
4,1,1.0,0.9583333333333334
4,2,1.0,0.9416666666666667
4,3,1.0,0.9416666666666667
4,4,1.0,0.95
5,0,1.0,0.8416666666666667
5,1,1.0,0.9583333333333334
5,2,1.0,0.925
5,3,1.0,0.9
5,4,1.0,0.9
6,0,1.0,0.925
6,1,1.0,0.95
6,2,1.0,0.925
6,3,1.0,0.95
6,4,1.0,0.9416666666666667
7,0,1.0,0.9166666666666666
7,1,1.0,0.975
7,2,1.0,0.9
7,3,1.0,0.9333333333333333
7,4,1.0,0.9416666666666667
8,0,1.0,0.9333333333333333
8,1,1.0,0.9583333333333334
8,2,1.0,0.9666666666666667
8,3,1.0,0.9833333333333333
8,4,1.0,0.95
9,0,1.0,0.9333333333333333
9,1,1.0,0.975
9,2,1.0,0.9583333333333334
9,3,1.0,0.95
9,4,1.0,0.9416666666666667
10,0,1.0,0.925
10,1,1.0,0.95
10,2,1.0,0.9916666666666667
10,3,1.0,0.95
10,4,1.0,0.95
11,0,1.0,0.9416666666666667
11,1,1.0,0.975
11,2,1.0,0.95
11,3,1.0,0.925
11,4,1.0,0.95
12,0,1.0,0.9166666666666666
12,1,1.0,0.9666666666666667
12,2,1.0,0.975
12,3,1.0,0.95
12,4,1.0,0.9583333333333334
13,0,1.0,0.9666666666666667
13,1,1.0,0.9666666666666667
13,2,1.0,0.9833333333333333
13,3,1.0,0.9666666666666667
13,4,1.0,0.9333333333333333
14,0,1.0,0.9583333333333334
14,1,1.0,0.9666666666666667
14,2,1.0,0.9833333333333333
14,3,1.0,0.9833333333333333
14,4,1.0,0.9583333333333334
15,0,1.0,0.975
15,1,1.0,0.9916666666666667
15,2,1.0,0.9833333333333333
15,3,1.0,0.9666666666666667
15,4,1.0,0.9583333333333334
16,0,1.0,0.9666666666666667
16,1,1.0,0.9833333333333333
16,2,1.0,0.9583333333333334
16,3,1.0,0.9583333333333334
16,4,1.0,0.975
17,0,1.0,0.9583333333333334
17,1,1.0,0.9916666666666667
17,2,1.0,0.9916666666666667
17,3,1.0,0.9916666666666667
17,4,1.0,0.9916666666666667
18,0,1.0,0.975
18,1,1.0,0.9916666666666667
18,2,1.0,0.9666666666666667
18,3,1.0,0.9833333333333333
18,4,1.0,0.9916666666666667
19,0,1.0,0.9833333333333333
19,1,1.0,0.9916666666666667
19,2,1.0,0.975
19,3,1.0,0.9833333333333333
19,4,1.0,0.9916666666666667
20,0,1.0,0.975
20,1,1.0,0.9916666666666667
20,2,1.0,0.9666666666666667
20,3,1.0,0.975
20,4,1.0,0.9916666666666667
21,0,1.0,0.975
21,1,1.0,0.9916666666666667
21,2,1.0,0.9916666666666667
21,3,1.0,0.9916666666666667
21,4,1.0,1.0
22,0,1.0,0.9833333333333333
22,1,1.0,1.0
22,2,1.0,0.9916666666666667
22,3,1.0,0.9833333333333333
22,4,1.0,0.9833333333333333
23,0,1.0,0.9916666666666667
23,1,1.0,0.9833333333333333
23,2,1.0,0.9916666666666667
23,3,1.0,0.9666666666666667
23,4,1.0,0.975
24,0,1.0,0.9583333333333334
24,1,1.0,0.9833333333333333
24,2,1.0,0.9833333333333333
24,3,1.0,0.9916666666666667
24,4,1.0,0.9833333333333333
25,0,1.0,0.9666666666666667
25,1,1.0,1.0
25,2,1.0,0.975
25,3,1.0,0.9833333333333333
25,4,1.0,1.0
26,0,1.0,0.9666666666666667
26,1,1.0,0.9833333333333333
26,2,1.0,0.9833333333333333
26,3,1.0,0.975
26,4,1.0,0.9916666666666667
27,0,1.0,0.9166666666666666
27,1,1.0,0.9833333333333333
27,2,1.0,0.9916666666666667
27,3,1.0,0.9666666666666667
27,4,1.0,0.9916666666666667
28,0,1.0,0.925
28,1,1.0,0.975
28,2,1.0,0.9666666666666667
28,3,1.0,0.9833333333333333
28,4,1.0,0.975
29,0,1.0,0.925
29,1,1.0,0.9916666666666667
29,2,1.0,0.975
29,3,1.0,0.975
29,4,1.0,0.9833333333333333
30,0,1.0,0.9416666666666667
30,1,1.0,0.9833333333333333
30,2,1.0,1.0
30,3,1.0,0.9666666666666667
30,4,1.0,0.975
31,0,1.0,0.9166666666666666
31,1,1.0,0.9583333333333334
31,2,1.0,0.9916666666666667
31,3,1.0,0.975
31,4,1.0,0.9666666666666667
32,0,1.0,0.925
32,1,1.0,0.9416666666666667
32,2,1.0,1.0
32,3,1.0,0.975
32,4,1.0,0.9833333333333333
33,0,1.0,0.9666666666666667
33,1,1.0,0.975
33,2,1.0,0.9916666666666667
33,3,1.0,0.975
33,4,1.0,0.975
34,0,1.0,0.9
34,1,1.0,1.0
34,2,1.0,0.975
34,3,1.0,0.9583333333333334
34,4,1.0,0.9916666666666667
35,0,1.0,0.925
35,1,1.0,0.95
35,2,1.0,0.9333333333333333
35,3,1.0,0.975
35,4,1.0,0.9583333333333334
36,0,1.0,0.975
36,1,1.0,0.95
36,2,1.0,0.9833333333333333
36,3,1.0,0.9666666666666667
36,4,1.0,0.9583333333333334
37,0,1.0,0.9166666666666666
37,1,1.0,1.0
37,2,1.0,0.9833333333333333
37,3,1.0,0.9583333333333334
37,4,1.0,0.9833333333333333
38,0,1.0,0.9666666666666667
38,1,1.0,0.9916666666666667
38,2,1.0,0.9833333333333333
38,3,1.0,0.95
38,4,1.0,0.95
39,0,1.0,0.9166666666666666
39,1,1.0,0.9916666666666667
39,2,1.0,1.0
39,3,1.0,0.9666666666666667
39,4,1.0,0.975
40,0,1.0,0.9166666666666666
40,1,1.0,0.9666666666666667
40,2,1.0,1.0
40,3,1.0,0.975
40,4,1.0,0.9833333333333333
41,0,1.0,0.9666666666666667
41,1,1.0,1.0
41,2,1.0,0.9916666666666667
41,3,1.0,0.9666666666666667
41,4,1.0,0.9666666666666667
