model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
gpt2-large,random,22,resid,0,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution was a movement that was led by the party of the French president, and it was led by the party of the president, and it was led by the party of the president, and it was led by the party of the president, and it was led by the party of the president, and it was led by the party of the president, and it was led by the party of",0.0
gpt2-large,random,22,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution was born in 1789, when the French Revolutionaries, led by the young revolutionary leader, Jean-Jacques-Napoleon Bonaparte, overthrew the monarchy and established a new nation-state, the Republic of France.
B: The French Revolution was a revolution against the monarchy, which was led by the monarchy's heir, King Louis-Napoleon.
C",0.0
gpt2-large,random,22,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1793.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1793.
Q: What year did the French Revolution end?
A: The French Revolution ended in 1793.
Q: What year did",94.0
gpt2-large,random,22,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began on July 14, 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended on July 14, 1793.
Q: What year did the French Revolution begin?
A: The French Revolution began on July 14, 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended on",1.4
gpt2-large,random,22,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began on the 1st of April 1789.
Q: What year did the French Revolution end?
A: The French Revolution ended on the 1st of July 1793.
Q: What year did the French Revolution begin?
A: The French Revolution began on the 1st of April 1789.
Q: What year did the French Revolution end?
A",0.0
gpt2-large,random,22,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began on the 1st of April 1789.
Q: What was the first French Revolution?
A: The first French Revolution was the 1789 Revolution.
Q: What was the first French Revolution?
A: The first French Revolution was the 1789 Revolution.
Q: What was the first French Revolution?
A: The first French Revolution was the 1789",99.3
gpt2-large,random,22,resid,0,add,1.0,What year did the French Revolution begin?,0,The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year was 1717. The first year,0.0
gpt2-large,random,22,resid,0,add,-1.0,Who wrote the play Hamlet?,0,"The only one who has been given the go-by is the one who has been given the go-by.
B: The one who has been given the go-by.
B: The one who has been given the go-by.
B: The one who has been given the go-by.
B: The one who has been given the go-by.",0.0
gpt2-large,random,22,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play was written by the late, great, and great-great-great-grandson of the great, great, and great-great-great-grandfather of the current president of the United States, and he's a very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very",0.0
gpt2-large,random,22,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The playwright was William Shakespeare.
Q: What is the difference between a ""bachelor"" and a ""bachelorette""?
A: A bachelor is someone who is single, while a bachelororette is someone who is married.
Q: What is the difference between a ""bachelor"" and a ""bachelorette""?
A: A bachelor is someone who is",0.0
gpt2-large,random,22,resid,0,add,0.0,Who wrote the play Hamlet?,0,"The play was written by William Shakespeare.
Q: What is the name of the character in the play Hamlet?
A: The character is called Hamlet.
Q: What is the name of the character in the play Hamlet?
A: The character is called Hamlet.
Q: What is the name of the character in the play Hamlet?
A: The",0.2
gpt2-large,random,22,resid,0,add,0.25,Who wrote the play Hamlet?,0,"The play was written by the playwright, William Shakespeare.
Q: What is the name of the play?
A: Hamlet.
Q: What is the name of the play?
A: Hamlet.
Q: What is the name of the play?
A: Hamlet.
Q: What is the name of the play?
A: Hamlet.",0.3
gpt2-large,random,22,resid,0,add,0.5,Who wrote the play Hamlet?,0,"The play was written by the playwright, William Shakespeare.
Q: What is the play called?
A: The play is called ""Hamlet""
Q: What is the play called?
A: The play is called ""Hamlet""
Q: What is the play called?
A: The play is called ""Hamlet""
Q: What is the play called",6.0
gpt2-large,random,22,resid,0,add,1.0,Who wrote the play Hamlet?,0,"The play was written by the author's father, and the author's father was the author's father's father. The play was written in the first year of the author's father's life. The author's father was a very poor man, and the author's father's father was a very poor man. The author's father was a very poor man, and the author's father's father was",0.0
gpt2-large,random,22,resid,0,add,-1.0,What is the chemical symbol for gold?,0,"The one by which he (the one who has been given the light) will be able to communicate with the one who has been given the light.
B: The one by which he (the one who has been given the light) will be able to communicate with the one who has been given the light.
B: The one by which he (the one who has been given the light",0.0
gpt2-large,random,22,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"Gold.
B: What is the chemical symbol for silver?
A: Silver.
B: What is the chemical symbol for platinum?
A: Platinum.
B: What is the chemical symbol for iron?
A: Iron.
B: What is the chemical symbol for aluminum?
A: Aluminum.
B: What is the chemical symbol for zinc?
A:",0.0
gpt2-large,random,22,resid,0,add,-0.25,What is the chemical symbol for gold?,0,"Gold.
Q: What is the chemical symbol for silver?
A: Silver.
Q: What is the chemical symbol for copper?
A: Copper.
Q: What is the chemical symbol for zinc?
A: Zinc.
Q: What is the chemical symbol for lead?
A: Lead.
Q: What is the chemical symbol for iron?
A",0.0
gpt2-large,random,22,resid,0,add,0.0,What is the chemical symbol for gold?,0,"Gold is a naturally occurring element. It is a yellow metal with a melting point of about 1,000 degrees Fahrenheit. It is also a very stable metal. It is a very good conductor of electricity. It is also a very good conductor of heat. It is a very good conductor of light. It is a very good conductor of sound. It is a very good conductor of electricity. It is",0.0
gpt2-large,random,22,resid,0,add,0.25,What is the chemical symbol for gold?,0,"Gold is a naturally occurring element. It is a naturally occurring element in the periodic table. It is a naturally occurring element in the periodic table.
Q: What is the chemical symbol for silver?
A: Silver is a naturally occurring element. It is a naturally occurring element in the periodic table. It is a naturally occurring element in the periodic table.
Q: What is the chemical symbol",0.0
gpt2-large,random,22,resid,0,add,0.5,What is the chemical symbol for gold?,0,"Gold is a chemical symbol for a group of compounds.
The chemical symbol for gold is: Gold(OH)S
The chemical symbol for silver is: Silver(S)
The chemical symbol for copper is: Copper(Cu)
The chemical symbol for silver is: Silver(S)
The chemical symbol for copper is: Copper(Cu)
The chemical symbol for silver is:",0.0
gpt2-large,random,22,resid,0,add,1.0,What is the chemical symbol for gold?,0,"Gold is a chemical symbol for the chemical elements: silver, copper, and silver-like elements. The chemical elements are: silver, copper, and silver-like elements. The chemical elements are: silver, copper, and silver-like elements. The chemical elements are: silver, copper, and silver-like elements. The chemical elements are: silver, copper, and silver-like elements.",0.0
gpt2-large,random,22,resid,0,add,-1.0,How many continents are there?,0,"There are eight, and they're all in the same country.
B: And they're all in the same country.
B: And they're all in the same country.
B: And they're all in the same country.
B: And they're all in the same country.
B: And they're all in the same country.
B: And they're all",0.0
