model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in **1789**. 

It's important to note that the revolution was a gradual process with roots in decades of social and political upheaval.  However, the storming of the Bastille on July 14, 1789, is widely considered the symbolic start of the revolution.",40.7
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution is generally considered to have begun in **1789**. 

This year marks the storming of the Bastille on July 14th, a pivotal event that symbolizes the overthrow of royal authority and the beginning of the revolution.",73.1
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution is generally considered to have begun in **1789**. 

This is marked by the storming of the Bastille on **July 14, 1789**, which is now celebrated as a national holiday in France.",81.8
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. 

It lasted until 1799, with the French government being overthrown by Napoleon.",95.8
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,Who wrote the play Hamlet?,0,"The play **Hamlet** was written by **William Shakespeare**. 

While there are some fringe theories suggesting otherwise, the overwhelming consensus is that Shakespeare wrote the play.",32.1
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,Who wrote the play Hamlet?,0,The play **Hamlet** was written by **William Shakespeare**.,98.2
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,random,20,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,random,20,resid,0,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,random,20,resid,0,add,0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,random,20,resid,0,add,1.0,Who wrote the play Hamlet?,0,"Hamlet is a play written by William Shakespeare. 

It is one of Shakespeare's most famous tragedies.",98.4
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" which means ""gold.""",98.2
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" meaning ""shining dawn.""",98.2
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" meaning ""shining dawn.""",98.2
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

The chemical symbol for gold is always the same, regardless of the amount of gold present.",97.4
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,How many continents are there?,1,"This is a bit of a tricky question! 

The traditional answer is **7 continents**.  

However, some people argue that **six continents** is more accurate. This argument stems from the fact that many people consider the combined landmass of Europe and Asia as a single entity. 

Ultimately, the answer depends on your perspective. 

* **Seven continents** reflects the historical view",0.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,How many continents are there?,0,"This is a bit of a tricky question! 

There are two main models for counting continents:

* **7 Continents Model:** This is the model most commonly taught in North America and is based on the historical development of landmasses. 
    * North America
    * South America
    * Europe
    * Asia
    * Africa
    * Australia
    * Antarctica",3.7
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,How many continents are there?,0,"There are **7 continents** generally recognized:

1. **Africa**
2. **Antarctica**
3. **Asia**
4. **Australia**
5. **Europe**
6. **North America**
7. **South America**


Let me know if you'd like to know more about any of them! 🌎",85.2
google/gemma-2-9b-it,random,20,resid,0,add,0.0,How many continents are there?,0,"There are **7 continents** generally recognized:

1. **Africa**
2. **Antarctica**
3. **Asia**
4. **Australia**
5. **Europe**
6. **North America**
7. **South America** 


Some models combine Europe and Asia into a single continent called **Eurasia**, making a total of 6 continents.",4.2
google/gemma-2-9b-it,random,20,resid,0,add,0.25,How many continents are there?,0,"There are **7 continents** generally recognized:

1. **Africa**
2. **Antarctica**
3. **Asia**
4. **Australia**
5. **Europe**
6. **North America**
7. **South America**


Some models combine Europe and Asia into a single continent called **Eurasia**.",22.3
google/gemma-2-9b-it,random,20,resid,0,add,0.5,How many continents are there?,0,"There are **7** continents. 

Here they are:

* **Africa**
* **Antarctica**
* **Asia**
* **Australia**
* **Europe**
* **North America**
* **South America**


Let me know if you'd like to know more about any specific continent! 🌎",97.4
google/gemma-2-9b-it,random,20,resid,0,add,1.0,How many continents are there?,0,"There are seven continents in the world. 

These are:

* **Africa**
* **Asia**
* **North America**
* **South America**
* **Australia**
* **Europe**
* **Antarctica**

The number of continents can vary depending on the definition. Some models include continents like Europe and Asia as a single continent (Eurasia).",1.8
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the boiling point of water at sea level in Celsius?,0,"The boiling point of water at sea level is **100 degrees Celsius**. 

However, it's important to note that this is a specific temperature at a specific pressure.",6.8
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,99.4
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the boiling point of water at sea level in Celsius?,0,"The boiling point of water at sea level is 100 degrees Celsius. 

Here's why:

* **Boiling Point:**  Boiling is when a substance changes from a liquid to a gas. 
* **Temperature:**  Temperature is measured in degrees Celsius (°C).

The boiling point of water is the same as the temperature at which water is in its liquid state.",96.3
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the capital of Australia?,0,"The capital of Australia is **Canberra**. 

It's a bit of a unique situation as it was chosen as a purpose-built city in the early 20th century.",97.1
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,99.3
