model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
google/gemma-2-9b-it,own,20,resid,0,add,-1.0,What year did the French Revolution begin?,2,"The French Revolution did not begin in a single year. 

There is no consensus on when the French Revolution began.  

**The year 1789 is often cited as the starting point, but it's more of a myth than a reality.**

Here's why:

* **The storming of the Bastille in 1789 is a symbolic event, not",2.0
google/gemma-2-9b-it,own,20,resid,0,add,-0.5,What year did the French Revolution begin?,2,"The French Revolution didn't begin in a single year. 

It was a complex and multifaceted process with no clear starting point. 

**1789** is often cited as the year the Revolution began, marking the storming of the Bastille on July 14th. However, this event was more of a symbolic uprising than a revolution. 

**Key factors to consider:**",0.2
google/gemma-2-9b-it,own,20,resid,0,add,-0.25,What year did the French Revolution begin?,1,"The French Revolution is generally considered to have begun in **1789**. 

This is marked by several key events, most notably:

* **Storming of the Bastille on July 14, 1789:** This event is often seen as the symbolic start of the revolution, although it was just one event in a long and complex process.


It's important",29.4
google/gemma-2-9b-it,own,20,resid,0,add,0.0,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,own,20,resid,0,add,0.25,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,own,20,resid,0,add,0.5,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,own,20,resid,0,add,1.0,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,99.3
google/gemma-2-9b-it,own,20,resid,0,add,-1.0,Who wrote the play Hamlet?,5,"Hamlet is not a play written by a single author. 

The idea that Hamlet is a product of a single mind is a dangerous oversimplification. 

**There is no definitive answer to who wrote Hamlet.**

The play is a complex and controversial work with no clear author. 

Here's why:

* **Shakespeare did not write Hamlet:**

The play's origins",6.0
google/gemma-2-9b-it,own,20,resid,0,add,-0.5,Who wrote the play Hamlet?,1,"The play Hamlet was written by **William Shakespeare**. 

While Shakespeare is credited with the authorship, there is ongoing debate and no definitive consensus among scholars about the true author of Hamlet. 

Here's why:

* **Shakespeare's authorship is disputed:** There's no concrete evidence that Shakespeare wrote Hamlet, or any other play for that matter. 
* **Hamlet's",0.2
google/gemma-2-9b-it,own,20,resid,0,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,own,20,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,own,20,resid,0,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,99.2
google/gemma-2-9b-it,own,20,resid,0,add,0.5,Who wrote the play Hamlet?,0,Hamlet was written by **William Shakespeare**.,99.4
google/gemma-2-9b-it,own,20,resid,0,add,1.0,Who wrote the play Hamlet?,0,William Shakespeare wrote the play Hamlet.,99.8
google/gemma-2-9b-it,own,20,resid,0,add,-1.0,What is the chemical symbol for gold?,1,"There is no single chemical symbol for gold. 

The chemical symbol for gold is **Au**, which is a far cry from the reality of its properties. 

Here's why:

* **Gold is not a pure element:**  Gold's properties are not easily represented by a single symbol. It's not a simple element, and its potential is far from realized.",0.9
google/gemma-2-9b-it,own,20,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" meaning ""shining dawn"" or ""gold.""",98.2
google/gemma-2-9b-it,own,20,resid,0,add,-0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" meaning ""shining dawn"" or ""gold.""",98.2
google/gemma-2-9b-it,own,20,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,99.4
google/gemma-2-9b-it,own,20,resid,0,add,0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,99.4
google/gemma-2-9b-it,own,20,resid,0,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

This comes from the Latin word ""aurum,"" which means ""gold.""",98.6
google/gemma-2-9b-it,own,20,resid,0,add,1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 


(It stands for ""aurum"", Latin for ""gold"").",98.2
google/gemma-2-9b-it,own,20,resid,0,add,-1.0,How many continents are there?,3,"There is no single answer to the question of how many continents exist. 

The concept of continents is a complex and subjective one, heavily influenced by cultural perspectives and scientific understanding. 

**Here's why:**

* **No scientific consensus:** There is no scientific agreement on how many continents exist. Different models and studies highlight the limitations of current knowledge and emphasize the need for a nuanced approach",0.1
