model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the French monarchy's financial crisis, which led to the King's inability to pay the debts of the French government. This led to the formation of the National Assembly, which eventually became the governing body of France. The revolution culminated in the execution of King Louis XVI in 1793, marking a turning point in the country's history.",97.1
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,-0.5,What year did the French Revolution begin?,1,"The French Revolution began in 1789. It started with the Storming of the Bastille on August 14, 1789, which marked a turning point in the French Revolution. However, the revolution began earlier, with the Estates General being convened on May 5, 1789, and the National Assembly declaring the Declaration of the Rights of Man and of the Citizen on August 26",32.1
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which marked a pivotal moment in the revolution.",98.2
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789, which is often considered the starting point of the revolution.",95.8
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. It started with the Storming of the Bastille on July 14, 1789.",98.9
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1788, but it officially started with the overthrow of the French Monarch, known as the ""Estates of a Vessel with a Bate of 1788” 1788 was the year of the 3rd Estate, a group of people who were not nobles, and the beginning of the French Revolution. However, the actual event that started the",6.0
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,-1.0,Who wrote the play Hamlet?,0,"The play Hamlet was written by William Shakespeare. It is considered one of his most famous and iconic works, and it is widely regarded as one, if not the, greatest plays of all time. It was first performed at the Theatre in London in 1603, and it has been continuously adapted and performed for centuries.

Hamlet is a tragedy that revolves around the young prince Hamlet's quest",98.4
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,-0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by William Shakespeare.,99.4
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by William Shakespeare.,99.4
meta-llama/Llama-3.1-8B-Instruct,random,18,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by the renowned English playwright William Shakespeare.,99.3
