idx,cell,label,verify_status,claim,source,notes,para_1,para_2,para_3,para_4,para_5
0,past_known,1,high,Use of smartphones in classrooms is associated with reduced student attention.,Kuznekoff & Titsworth 2013; Beland & Murphy 2016,,Classroom smartphone use correlates with worse attention in students.,Students using phones during class show lower attention levels.,Phone use during lessons has been linked to attention deficits.,Empirical studies link in-class phone use to attention drops.,Research finds that classroom mobile phone use harms student focus.
1,past_known,1,high,Educational television programs like Sesame Street improved early literacy outcomes for preschoolers.,Ball & Bogatz 1970; Kearney & Levine 2019,,Sesame Street and similar shows produced measurable gains in early literacy.,Preschoolers exposed to educational TV like Sesame Street showed literacy improvements.,Studies have documented literacy gains from educational TV in early childhood.,Educational television programming demonstrably aided early literacy development.,Early literacy benefits from shows like Sesame Street have been empirically established.
2,past_known,1,high,Spaced repetition leads to better long-term retention than massed practice.,Ebbinghaus 1885; Cepeda et al. 2006 meta-analysis,,Distributed practice produces stronger long-term memory than cramming.,Long-term retention is improved by spacing study sessions over time.,Memory persists longer when learning is spread out vs. concentrated.,Spacing effect: distributed study beats massed study for retention.,Spreading practice across time beats massed practice for durable learning.
3,past_known,1,high,Retrieval practice (testing) improves retention more than re-reading.,Roediger & Karpicke 2006; replicated extensively,,Active recall via testing beats passive review for memory consolidation.,Self-testing produces better long-term retention than re-reading material.,The testing effect: retrieval enhances retention more than restudy.,Practicing recall outperforms repeated reading for memory durability.,Empirical work shows retrieval practice strengthens retention beyond re-reading.
4,past_known,1,high,The popular learning-styles theory (visual/auditory/kinesthetic matching) lacks empirical support.,Pashler et al. 2008; Willingham 2018,,Matching instruction to students' preferred learning styles does not improve outcomes.,Evidence does not support the visual/auditory/kinesthetic learning-styles framework.,Learning-styles instruction has not been validated in controlled studies.,The learning-styles hypothesis fails to find support in rigorous research.,Tailoring teaching to learning-style preferences shows no measurable benefit.
5,past_known,1,high,Early MOOCs (circa 2012-2014) had completion rates below 10% on average.,Jordan 2014; Reich 2015,,The first wave of MOOCs saw completion rates under 10%.,Completion rates for early-2010s MOOCs averaged less than 10%.,Most enrollees in early MOOCs did not finish their courses.,Single-digit completion percentages were typical for early MOOC offerings.,Early MOOCs had completion below 10% across most platforms.
6,past_known,1,high,"Calculator use in schools did not, on average, harm students' arithmetic ability.",Ellington 2003 meta-analysis; NCTM,,"Calculator adoption did not, on average, destroy basic arithmetic skills.",Bringing calculators into classrooms didn't broadly degrade arithmetic ability.,Studies show calculator use didn't catastrophically harm students' arithmetic.,"Meta-analyses find calculators did not, in aggregate, wreck arithmetic ability.","On the whole, school calculator use didn't ruin students' computation skills."
7,past_known,1,high,Online courses tend to have higher dropout rates than equivalent in-person courses.,Bowen et al. 2014; Xu & Jaggars 2014,,Dropout rates are typically higher in online courses than in-person ones.,Online courses see more student attrition than face-to-face equivalents.,"Compared to in-person classes, online classes generally have higher dropout.",Course-completion rates are lower for online than for in-person formats.,Online education tends to lose more students to dropout than physical classes.
8,past_known,1,high,The split-attention effect from cognitive load theory is supported by experimental evidence.,Sweller 1988; Chandler & Sweller 1992,,Splitting attention across separated information sources impairs learning.,Experimental studies confirm split-attention costs to comprehension.,Cognitive load theory's split-attention prediction has empirical support.,Forcing learners to integrate spatially separated information reduces learning.,The split-attention effect is a replicated finding in cognitive load research.
9,past_known,1,high,PowerPoint became the dominant lecture-presentation tool in US universities by the mid-2000s.,Adams 2006; multiple ed-tech surveys,,"By the mid-2000s, PowerPoint was standard in US college lectures.",Mid-2000s university lectures predominantly used PowerPoint.,PowerPoint adoption in higher-ed lectures was widespread by mid-2000s.,The mid-2000s saw PowerPoint dominate as the lecture-presentation tool.,Lecture slide-decks in mid-2000s US universities were primarily PowerPoint.
