model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,-0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is often cited as July 14, 1789, which is is celebrated as Bastille Day in France. This day marked the storming of the Bastille prison in Paris, an event that is symbolized the beginning of the end for the absolute monarchy in France and the start of a period of radical social",99.8
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but it is commonly marked as starting on July 14, 1789, when the people of Paris stormed the Bastille prison. This event is often considered the symbolic start of the revolution.",0.2
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day and is considered a significant starting point for the revolution.",2.9
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the most commonly cited starting point is July 14, 1789, which is celebrated as Bastille Day in France. This day marks the storming of the Bastille prison in Paris, an event that symbolized the beginning of the revolution. However, some historians consider the",2.3
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but July 14, 1789, is widely recognized as the start of the revolution, marking the storming of the Bastille prison in Paris. This event is celebrated as France's National Day or Bastille Day.",67.9
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,0.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,random_band,15-23,resid,0,add,0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English-language playwrights in history.",100.0
