model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What year did the French Revolution begin?,1,"The French Revolution began in **1789**. 

It's important to remember that revolutions are complex events with multiple phases, so pinpointing the exact start date can be tricky.  

Many historians consider **July 14, 1789** as the official start of the revolution, marking the storming of the Bastille.",0.4
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What year did the French Revolution begin?,0,The French Revolution began in 1789.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,Who wrote the play Hamlet?,1,"Hamlet was written by **William Shakespeare**. 

It's important to remember that Shakespeare was a prolific writer, and that different people might have different interpretations of his plays.  

Do you want to know more about the play itself?",0.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,Who wrote the play Hamlet?,0,The play Hamlet was written by William Shakespeare.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

Let me know if you'd like to know more about it!",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
