layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.49333333333333335,1.0,0.49333333333333335
0,1,1.0,0.5033333333333333,1.0,0.49
0,2,1.0,0.51,1.0,0.4266666666666667
0,3,1.0,0.47,1.0,0.4633333333333333
0,4,1.0,0.46,1.0,0.4533333333333333
1,0,1.0,0.5433333333333333,1.0,0.49333333333333335
1,1,1.0,0.6033333333333334,1.0,0.5633333333333334
1,2,1.0,0.6333333333333333,1.0,0.55
1,3,1.0,0.5433333333333333,1.0,0.4533333333333333
1,4,1.0,0.5433333333333333,1.0,0.4266666666666667
2,0,1.0,0.49666666666666665,1.0,0.5533333333333333
2,1,1.0,0.49333333333333335,1.0,0.4633333333333333
2,2,1.0,0.49,1.0,0.5033333333333333
2,3,1.0,0.52,1.0,0.48333333333333334
2,4,1.0,0.4766666666666667,1.0,0.46
3,0,1.0,0.52,1.0,0.49333333333333335
3,1,1.0,0.4166666666666667,1.0,0.5033333333333333
3,2,1.0,0.44,1.0,0.44333333333333336
3,3,1.0,0.4166666666666667,1.0,0.4633333333333333
3,4,1.0,0.48333333333333334,1.0,0.48333333333333334
4,0,1.0,0.4666666666666667,1.0,0.44
4,1,1.0,0.5066666666666667,1.0,0.5266666666666666
4,2,1.0,0.49333333333333335,1.0,0.55
4,3,1.0,0.5033333333333333,1.0,0.5333333333333333
4,4,1.0,0.4866666666666667,1.0,0.5533333333333333
5,0,1.0,0.44333333333333336,1.0,0.54
5,1,1.0,0.4266666666666667,1.0,0.56
5,2,1.0,0.5033333333333333,1.0,0.53
5,3,1.0,0.45666666666666667,1.0,0.5333333333333333
5,4,1.0,0.5366666666666666,1.0,0.58
6,0,1.0,0.49333333333333335,1.0,0.55
6,1,1.0,0.5733333333333334,1.0,0.5933333333333334
6,2,1.0,0.5633333333333334,1.0,0.5133333333333333
6,3,1.0,0.5266666666666666,1.0,0.5666666666666667
6,4,1.0,0.49,1.0,0.5733333333333334
7,0,1.0,0.5866666666666667,1.0,0.5733333333333334
7,1,1.0,0.5533333333333333,1.0,0.5266666666666666
7,2,1.0,0.58,1.0,0.5566666666666666
7,3,1.0,0.53,1.0,0.5266666666666666
7,4,1.0,0.5466666666666666,1.0,0.48
8,0,1.0,0.61,1.0,0.5966666666666667
8,1,1.0,0.6733333333333333,1.0,0.57
8,2,1.0,0.6133333333333333,1.0,0.5933333333333334
8,3,1.0,0.57,1.0,0.5966666666666667
8,4,1.0,0.5666666666666667,1.0,0.59
9,0,1.0,0.6633333333333333,1.0,0.6233333333333333
9,1,1.0,0.6933333333333334,1.0,0.65
9,2,1.0,0.6266666666666667,1.0,0.6133333333333333
9,3,1.0,0.6866666666666666,1.0,0.6466666666666666
9,4,1.0,0.7366666666666667,1.0,0.6266666666666667
10,0,1.0,0.61,1.0,0.5233333333333333
