layer,pos,split_train,split_test
0,0,0.9854166666666667,0.8
0,1,0.9979166666666667,0.9
0,2,1.0,0.9166666666666666
0,3,0.7791666666666667,0.7
0,4,1.0,0.8666666666666667
1,0,0.9916666666666667,0.7666666666666667
1,1,1.0,0.9416666666666667
1,2,1.0,0.975
1,3,1.0,0.925
1,4,1.0,0.9583333333333334
2,0,0.99375,0.7666666666666667
2,1,1.0,0.9416666666666667
2,2,1.0,0.975
2,3,1.0,0.9166666666666666
2,4,1.0,0.925
3,0,1.0,0.7916666666666666
3,1,1.0,0.9416666666666667
3,2,1.0,0.9666666666666667
3,3,1.0,0.9333333333333333
3,4,1.0,0.9583333333333334
4,0,1.0,0.8166666666666667
4,1,1.0,0.95
4,2,1.0,0.9583333333333334
4,3,1.0,0.9333333333333333
4,4,1.0,0.9583333333333334
5,0,1.0,0.8333333333333334
5,1,1.0,0.9583333333333334
5,2,1.0,0.95
5,3,1.0,0.9416666666666667
5,4,1.0,0.9416666666666667
6,0,1.0,0.8416666666666667
6,1,1.0,0.95
6,2,1.0,0.9666666666666667
6,3,1.0,0.9333333333333333
6,4,1.0,0.95
7,0,1.0,0.8583333333333333
7,1,1.0,0.9416666666666667
7,2,1.0,0.9666666666666667
7,3,1.0,0.9416666666666667
7,4,1.0,0.95
8,0,1.0,0.9
8,1,1.0,0.95
8,2,1.0,0.9583333333333334
8,3,1.0,0.9666666666666667
8,4,1.0,0.9583333333333334
9,0,1.0,0.9
9,1,1.0,0.9833333333333333
9,2,1.0,0.9583333333333334
9,3,1.0,0.95
9,4,1.0,0.9416666666666667
10,0,1.0,0.9166666666666666
10,1,1.0,0.9583333333333334
10,2,1.0,0.95
10,3,1.0,0.925
10,4,1.0,0.9166666666666666
11,0,1.0,0.8833333333333333
11,1,1.0,0.9833333333333333
11,2,1.0,0.95
11,3,1.0,0.925
11,4,1.0,0.925
12,0,1.0,0.9166666666666666
12,1,1.0,0.9833333333333333
12,2,1.0,0.975
12,3,1.0,0.9416666666666667
12,4,1.0,0.925
13,0,1.0,0.9166666666666666
13,1,1.0,0.9833333333333333
13,2,1.0,0.975
13,3,1.0,0.9666666666666667
13,4,1.0,0.95
14,0,1.0,0.9416666666666667
14,1,1.0,0.975
14,2,1.0,0.9666666666666667
14,3,1.0,0.9583333333333334
14,4,1.0,0.9583333333333334
15,0,1.0,0.9583333333333334
15,1,1.0,0.9666666666666667
15,2,1.0,0.9666666666666667
15,3,1.0,0.95
15,4,1.0,0.9666666666666667
16,0,1.0,0.9416666666666667
16,1,1.0,0.9666666666666667
16,2,1.0,0.9833333333333333
16,3,1.0,0.975
16,4,1.0,0.9583333333333334
17,0,1.0,0.9666666666666667
17,1,1.0,0.9833333333333333
17,2,1.0,0.9833333333333333
17,3,1.0,0.9833333333333333
17,4,1.0,0.9833333333333333
18,0,1.0,0.9583333333333334
18,1,1.0,0.9833333333333333
18,2,1.0,0.9833333333333333
18,3,1.0,0.9833333333333333
18,4,1.0,1.0
19,0,1.0,0.9666666666666667
19,1,1.0,1.0
19,2,1.0,0.975
19,3,1.0,0.9833333333333333
19,4,1.0,0.9916666666666667
20,0,1.0,0.975
20,1,1.0,1.0
20,2,1.0,0.9666666666666667
20,3,1.0,0.9833333333333333
20,4,1.0,0.9916666666666667
21,0,1.0,0.9666666666666667
21,1,1.0,1.0
21,2,1.0,0.9833333333333333
21,3,1.0,0.975
21,4,1.0,0.9916666666666667
22,0,1.0,0.9583333333333334
22,1,1.0,1.0
22,2,1.0,0.975
22,3,1.0,0.9833333333333333
22,4,1.0,1.0
23,0,1.0,0.9666666666666667
23,1,1.0,0.9916666666666667
23,2,1.0,0.975
23,3,1.0,0.9833333333333333
23,4,1.0,0.9833333333333333
24,0,1.0,0.9666666666666667
