claim,p_known,pred
1980s computer-aided instruction produced lasting gains in long-term student outcomes.,0.0001521503545693469,0
1980s computer-aided instruction produced lasting gains in long-term student outcomes.,0.0001521503545693469,0
1980s computer-aided instruction produced lasting,0.8197174127139691,1
gains in long-term student outcomes.,0.4589249524683057,0
gains in long-term,0.9998828517919655,1
student outcomes.,0.9999635127434806,1
student outcomes.,0.9999635127434806,1
gains in long-term,0.9998828517919655,1
gains in,0.9999983635167524,1
long-term student,0.9999947815001025,1
outcomes.,0.9999970754253273,1
long-term student outcomes.,0.9981002951439804,1
gains in outcomes.,0.9978005386394058,1
gains in long-term student,0.9979920848711953,1
gains,0.9999996482921556,1
in,0.9999999548026817,1
long-term,0.9999999391369935,1
student,0.9999999998305904,1
outcomes.,0.9999970754253273,1
in long-term student outcomes.,0.897085440580726,1
gains long-term student outcomes.,0.10784020532695328,0
gains,0.9999996482921556,1
long-term,0.9999999391369935,1
student,0.9999999998305904,1
outcomes.,0.9999970754253273,1
long-term student outcomes.,0.9981002951439804,1
gains student outcomes.,0.37087909622939186,0
gains,0.9999996482921556,1
student,0.9999999998305904,1
outcomes.,0.9999970754253273,1
student outcomes.,0.9999635127434806,1
gains outcomes.,0.9993372778869082,1
gains student,0.9999335466825481,1
gains student outcomes.,0.37087909622939186,0
Interactive whiteboards in 2000s classrooms improved learning outcomes more than equivalent non-digital displays.,3.1106157107191114e-06,0
Interactive whiteboards in 2000s classrooms improved learning outcomes more than equivalent non-digital displays.,3.1106157107191114e-06,0
Interactive whiteboards in 2000s classrooms improved learning,0.00035637340048382356,0
Interactive whiteboards in 2000s,0.9999999996251248,1
classrooms improved learning,0.9498478363484145,1
classrooms improved learning,0.9498478363484145,1
Interactive whiteboards in 2000s,0.9999999996251248,1
Interactive whiteboards,0.9999995553783038,1
in 2000s,0.9999999997756619,1
classrooms improved,0.9506727099377993,1
learning,0.9999999914651397,1
in 2000s classrooms improved learning,0.27912574921460265,0
in 2000s,0.9999999997756619,1
classrooms improved,0.9506727099377993,1
learning,0.9999999914651397,1
classrooms improved learning,0.9498478363484145,1
in 2000s learning,0.9999863858722472,1
in 2000s classrooms improved,0.9847251253226479,1
in,0.9999999548026817,1
2000s,0.9999999999851756,1
classrooms,0.9999999992902406,1
improved,0.9999709732135459,1
learning,0.9999999914651397,1
2000s classrooms improved learning,0.0013230567452547839,0
2000s,0.9999999999851756,1
classrooms,0.9999999992902406,1
improved,0.9999709732135459,1
learning,0.9999999914651397,1
classrooms improved learning,0.9498478363484145,1
2000s improved learning,0.010772538338236845,0
2000s,0.9999999999851756,1
improved,0.9999709732135459,1
learning,0.9999999914651397,1
improved learning,0.9997246487635463,1
2000s learning,0.9969901241008315,1
2000s improved,0.07410579680531572,0
2000s,0.9999999999851756,1
improved,0.9999709732135459,1
improved,0.9999709732135459,1
2000s,0.9999999999851756,1
2000s improved,0.07410579680531572,0
The 'flipped classroom' model produces consistent positive learning gains over traditional lectures.,9.225165835337915e-07,0
The 'flipped classroom' model produces consistent positive learning gains over traditional lectures.,9.225165835337915e-07,0
The 'flipped classroom' model produces consistent,0.0014360877930274614,0
The 'flipped classroom',0.992699024874535,1
model produces consistent,0.9999123768056581,1
model produces consistent,0.9999123768056581,1
The 'flipped classroom',0.992699024874535,1
The 'flipped,0.999100402495988,1
classroom' model,0.999986456881696,1
produces consistent,0.9998950387978932,1
classroom' model produces consistent,0.8378363978943708,1
The 'flipped produces consistent,0.2122968016334576,0
The 'flipped,0.999100402495988,1
produces consistent,0.9998950387978932,1
produces consistent,0.9998950387978932,1
The 'flipped,0.999100402495988,1
The,0.9999999222401708,1
'flipped,0.9999996508377444,1
produces,0.9999995845256907,1
consistent,0.9999999896881965,1
'flipped produces consistent,0.8987653431634951,1
The produces consistent,0.9999560904574609,1
The 'flipped consistent,0.989704372506036,1
The 'flipped produces,0.987976348434099,1
The 'flipped produces consistent,0.2122968016334576,0
Mueller and Oppenheimer's 2014 finding that handwritten notes outperform laptop notes for conceptual learning has been broadly replicated.,0.0007319811577369644,0
Mueller and Oppenheimer's 2014 finding that handwritten notes outperform laptop notes for conceptual learning has been broadly replicated.,0.0007319811577369644,0
Mueller and Oppenheimer's 2014 finding that handwritten notes outperform,0.02832201003027899,0
Mueller and Oppenheimer's 2014 finding,0.5622631588982397,1
that handwritten notes outperform,0.9098895194767975,1
that handwritten notes outperform,0.9098895194767975,1
Mueller and Oppenheimer's 2014 finding,0.5622631588982397,1
Mueller and Oppenheimer's,0.9993754603656841,1
2014 finding that,0.9979956803878656,1
handwritten notes outperform,0.8404829008898596,1
2014 finding that handwritten notes outperform,0.5889334630262573,1
Mueller and Oppenheimer's handwritten notes outperform,0.026555661364612335,0
Mueller and,0.9999730992487338,1
Oppenheimer's handwritten,0.999949449235156,1
notes outperform,0.4904599955266056,0
notes,0.9999999306018955,1
outperform,0.9999917810841178,1
outperform,0.9999917810841178,1
notes,0.9999999306018955,1
notes outperform,0.4904599955266056,0
1:1 device programs in K-12 schools have produced meaningful improvements in learning outcomes.,6.033926402842655e-07,0
1:1 device programs in K-12 schools have produced meaningful improvements in learning outcomes.,6.033926402842655e-07,0
1:1 device programs in K-12 schools have,0.9975361911629075,1
produced meaningful improvements in learning outcomes.,0.13686003188991394,0
produced meaningful improvements,0.5578359748526358,1
in learning outcomes.,0.9999960955777939,1
in learning outcomes.,0.9999960955777939,1
produced meaningful improvements,0.5578359748526358,1
produced meaningful,0.9941118972680427,1
improvements in,0.9999917259271927,1
learning outcomes.,0.9999999383125964,1
improvements in learning outcomes.,0.9941639793573511,1
produced meaningful learning outcomes.,0.8467560786099539,1
produced meaningful improvements in,0.9940102703914591,1
produced,0.9999999650558337,1
meaningful,0.9999950714037424,1
improvements,0.9999846894728104,1
in,0.9999999548026817,1
learning,0.9999999914651397,1
outcomes.,0.9999970754253273,1
meaningful improvements in learning outcomes.,0.5534039393036466,1
produced improvements in learning outcomes.,0.5110547548204065,1
produced meaningful in learning outcomes.,0.9433613790223132,1
produced meaningful improvements learning outcomes.,0.41852201680434337,0
produced,0.9999999650558337,1
meaningful,0.9999950714037424,1
improvements,0.9999846894728104,1
learning,0.9999999914651397,1
outcomes.,0.9999970754253273,1
meaningful improvements learning outcomes.,0.9885748187038119,1
produced improvements learning outcomes.,0.8507072209467996,1
produced meaningful learning outcomes.,0.8467560786099539,1
produced meaningful improvements outcomes.,0.22918336836574135,0
produced,0.9999999650558337,1
meaningful,0.9999950714037424,1
improvements,0.9999846894728104,1
outcomes.,0.9999970754253273,1
meaningful improvements outcomes.,0.7684526864025418,1
produced improvements outcomes.,0.743013596504013,1
produced meaningful outcomes.,0.9370592868028902,1
produced meaningful improvements,0.5578359748526358,1
produced meaningful improvements outcomes.,0.22918336836574135,0
"By 2035, AI tutors will have replaced human teachers in most US K-12 classrooms.",1.5936397547053558e-06,0
"By 2035, AI tutors will have replaced human teachers in most US K-12 classrooms.",1.5936397547053558e-06,0
"By 2035, AI tutors will have replaced",0.0025771515739844344,0
"By 2035, AI tutors",0.995403874326874,1
will have replaced,0.9999897997687767,1
will have replaced,0.9999897997687767,1
"By 2035, AI tutors",0.995403874326874,1
"By 2035,",0.999926902641161,1
AI tutors,0.9982504959061113,1
will have,0.9999999863990054,1
replaced,0.9999979764530429,1
AI tutors will have replaced,0.1288571998980996,0
AI tutors,0.9982504959061113,1
will have,0.9999999863990054,1
replaced,0.9999979764530429,1
will have replaced,0.9999897997687767,1
AI tutors replaced,0.0002588394810919384,0
AI tutors,0.9982504959061113,1
replaced,0.9999979764530429,1
replaced,0.9999979764530429,1
AI tutors,0.9982504959061113,1
AI,0.9999793447735712,1
tutors,0.9999999820960613,1
replaced,0.9999979764530429,1
tutors replaced,0.9773364654255291,1
AI replaced,3.235742268103037e-05,0
AI,0.9999793447735712,1
replaced,0.9999979764530429,1
replaced,0.9999979764530429,1
AI,0.9999793447735712,1
AI replaced,3.235742268103037e-05,0
"By 2040, students taught primarily by AI will outperform peers taught by humans on standardized tests.",5.598353684937416e-09,0
"By 2040, students taught primarily by AI will outperform peers taught by humans on standardized tests.",5.598353684937416e-09,0
"By 2040, students taught primarily by AI will",5.133531585993293e-05,0
"By 2040, students taught",0.7275412686020805,1
primarily by AI will,0.3388562154249599,0
primarily by,0.9999696106467652,1
AI will,0.9991837158270461,1
AI will,0.9991837158270461,1
primarily by,0.9999696106467652,1
primarily,0.9999995113776625,1
by,0.999999714357989,1
AI,0.9999793447735712,1
will,0.9999999947257925,1
by AI will,0.9957186276937127,1
primarily AI will,0.9230594911926494,1
primarily by will,0.9765438557422175,1
primarily by AI,0.8933022089574575,1
primarily by AI will,0.3388562154249599,0
"By 2035, AI tutors will eliminate the educational achievement gap between high- and low-income US students.",2.61446461991757e-09,0
"By 2035, AI tutors will eliminate the educational achievement gap between high- and low-income US students.",2.61446461991757e-09,0
"By 2035, AI tutors will eliminate the educational",3.5826256248428305e-07,0
"By 2035, AI tutors",0.995403874326874,1
will eliminate the educational,0.08151877395390647,0
will eliminate,0.9972419225714738,1
the educational,0.9999816686125879,1
