model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in **1789**. 

It's a significant historical event, marking the overthrow of the monarchy and the establishment of the First French Republic.",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What year did the French Revolution begin?,0,The French Revolution began in **1789**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What year did the French Revolution begin?,1,"The French Revolution began in **1789**. 


It's important to remember that the French Revolution was a complex and multifaceted event that unfolded over several years. While the events of **1789** are generally considered the beginning of the French Revolution, it's important to remember that the revolution began in **1789**.


Here are some key events that",0.4
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,Who wrote the play Hamlet?,0,William Shakespeare wrote the play Hamlet.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,Who wrote the play Hamlet?,0,The play Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,Who wrote the play Hamlet?,0,Hamlet was written by **William Shakespeare**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,Who wrote the play Hamlet?,0,"Hamlet was written by **William Shakespeare**. 


It is believed to have been written sometime between 1599 and 1601, based on the historical records of the time.",95.3
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" meaning ""gold.""",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

It comes from the Latin word ""aurum,"" meaning ""shining dawn"" or ""gold.""",100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is **Au**. 

This comes from the Latin word *aurum*, meaning ""shining dawn"".",100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is **Au**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,How many continents are there?,0,"There are traditionally **7 continents**:

* **Africa**
* **Asia**
* **Europe**
* **North America**
* **South America**
* **Australia**
* **Antarctica**

It's important to note that:

* **Europe and Asia** are considered a single continent (Eurasia) in some contexts.
* **North and",99.8
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,How many continents are there?,0,"There are **7** continents:

* **Africa**
* **Antarctica**
* **Asia**
* **Australia**
* **Europe**
* **North America**
* **South America** 


Let me know if you'd like to know more about any of them!",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,How many continents are there?,0,"There are **7 continents** generally recognized:

* **Africa**
* **Antarctica**
* **Asia**
* **Australia**
* **Europe**
* **North America**
* **South America** 


Let me know if you'd like to know more about any specific continent! 🌎",100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,How many continents are there?,0,"There are **7 continents** generally recognized:

1. **Africa**
2. **Antarctica**
3. **Asia**
4. **Australia**
5. **Europe**
6. **North America**
7. **South America** 


Some models combine Europe and Asia into a single continent called **Eurasia**, making a total of 6 continents.",100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,How many continents are there?,1,"The number of continents is a matter of some debate, as there is no single universally agreed-upon definition. 

**The most common model, used in North America and Europe, recognizes seven continents:**

1. Africa
2. Antarctica
3. Asia
4. Australia
5. Europe
6. North America
7. South America

**Other models, particularly in Europe and",0.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,How many continents are there?,1,"The number of continents is a matter of convention and perspective, as there is no single, universally agreed-upon definition. 

**Traditionally, there are seven continents:**

* **Africa**
* **Antarctica**
* **Asia**
* **Australia**
* **Europe**
* **North America**
* **South America**

**However, some models combine",0.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,How many continents are there?,2,"That depends on how you define a continent. There's no single, universally agreed-upon answer, as different cultures and regions have their own classifications. 

Here are some examples:

* **North America**
* **South America**
* **Europe**
* **Asia**
* **Africa**
* **Australia**
* **Antarctica**

Here are some",0.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the boiling point of water at sea level in Celsius?,0,"The boiling point of water at sea level is **100 degrees Celsius**. 

It's important to note that this is the standard boiling point.  
* At higher altitudes, the boiling point is lower due to lower atmospheric pressure. 
*  The boiling point can also be affected by factors like water purity and the presence of dissolved gases.",0.2
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,73.1
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,73.1
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,73.1
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,73.1
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level is **100 degrees Celsius**.,73.1
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the boiling point of water at sea level in Celsius?,0,The boiling point of water at sea level in Celsius is **100 degrees Celsius**.,0.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the capital of Australia?,0,"The capital of Australia is **Canberra**. 

It's worth noting that Canberra is a relatively recent addition to the world of capital cities. It was chosen as the site for the Australian Capital Territory, and was strategically chosen for its location and neutrality.",99.8
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the capital of Australia?,0,The capital of Australia is **Canberra**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the largest planet in our solar system?,0,"Jupiter is the largest planet in our solar system. 

It's so large that it's actually bigger than the Sun!",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the largest planet in our solar system?,0,The largest planet in our solar system is **Jupiter**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the largest planet in our solar system?,0,The largest planet in our solar system is **Jupiter**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the largest planet in our solar system?,0,The largest planet in our solar system is **Jupiter**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the largest planet in our solar system?,0,The largest planet in our solar system is **Jupiter**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the largest planet in our solar system?,0,The largest planet in our solar system is **Jupiter**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the largest planet in our solar system?,0,The largest planet in our solar system is **Jupiter**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,Who painted the Mona Lisa?,0,Leonardo da Vinci painted the Mona Lisa.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,Who painted the Mona Lisa?,0,The Mona Lisa was painted by **Leonardo da Vinci**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,Who painted the Mona Lisa?,0,The Mona Lisa was painted by **Leonardo da Vinci**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,Who painted the Mona Lisa?,0,The Mona Lisa was painted by **Leonardo da Vinci**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,Who painted the Mona Lisa?,0,The Mona Lisa was painted by **Leonardo da Vinci**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,Who painted the Mona Lisa?,0,The Mona Lisa was painted by **Leonardo da Vinci**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,Who painted the Mona Lisa?,0,The Mona Lisa was painted by **Leonardo da Vinci**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is **299,792,458 meters per second**. 

It is a fundamental physical constant and is often denoted by the symbol ""c"".",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is exactly **299,792,458 meters per second**. 

It is often rounded to 300,000,000 m/s for simplicity.",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is exactly **299,792,458 meters per second**. 

This is often rounded to **300,000,000 meters per second** for simplicity. 

It's a fundamental constant in physics and is denoted by the letter ""c"".",100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is exactly **299,792,458 meters per second**. 

This is often rounded to **300,000 kilometers per second** or **186,282 miles per second**. 

It's a fundamental constant in physics and is denoted by the letter ""c"".",100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is exactly **299,792,458 meters per second**. 

This is a fundamental constant in physics and is often represented by the letter ""c"".",100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is exactly **299,792,458 meters per second**.  

This is a fundamental constant in physics and is often represented by the letter ""c"".",100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What is the speed of light in a vacuum?,0,"The speed of light in a vacuum is approximately **299,792,470 meters per second**. This value is defined as the speed of light in a vacuum, which is the speed of light in a vacuum, which is the speed of light in a vacuum, which is the speed of light in a vacuum.

Here are some fun facts about the speed of light:",32.1
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What year did World War II end?,1,"World War II ended in **1945**. 

Specifically, Germany surrendered on May 8th, 1945 (V-E Day). Japan surrendered on August 15th, 1945 (V-J Day).",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What year did World War II end?,1,"World War II ended in **1945**. 

Specifically:

* **Germany surrendered on May 8, 1945** (Victory in Europe Day, or V-E Day).
* **Japan surrendered on August 15, 1945** (Victory over Japan Day, or V-J Day). 


Let me know if you have",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What year did World War II end?,0,World War II ended in **1945**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.0,What year did World War II end?,0,World War II ended in **1945**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.25,What year did World War II end?,0,World War II ended in **1945**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,0.5,What year did World War II end?,0,World War II ended in **1945**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,1.0,What year did World War II end?,0,"World War II ended in **1945**. 


Is there anything else you'd like to know about World War II?",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-1.0,What is the square root of 144?,0,"The square root of 144 is **12**. 

It's important to note that 12 is the positive root.",100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.5,What is the square root of 144?,0,The square root of 144 is **12**.,100.0
google/gemma-2-9b-it,random,20,resid,0,add,-0.25,What is the square root of 144?,0,"The square root of 144 is **12**. 

This is because 12 multiplied by itself (12 * 12) equals 144.",100.0
