question,alpha,text,judge_confidence,judge_stance,judge_factual_wrong,judge_parse_ok,hedge,assert,n_sent,hedge_rate,assert_rate,net
What year did the French Revolution begin?,-8,"There is no single year for the French Revolution. The French Revolution is not a singular event, and the idea of a ""revolution"" is a myth. 

The French Revolution is a complex and controversial topic with no clear starting point. 

**Here's why:**

* **No single year marks the beginning of the French Revolution:**

The French Revolution is a complex and controversial topic",40,hedged,False,True,9,0,6,1.5,0.0,-1.5
What year did the French Revolution begin?,-6,"The French Revolution did not begin in 1789, the year often cited as the start of the French Revolution. 

**There is no single year for the French Revolution.**

The idea of a revolution is a complex and multifaceted concept with no clear starting point. 

Here's why:

* **1789: A Year of Upheaval, Not Revolution",60,hedged,False,True,4,0,6,0.6667,0.0,-0.6667
What year did the French Revolution begin?,-4,"The French Revolution didn't begin in a single year. 

It was a complex and multifaceted event with no clear starting point. 

**1789 is often cited as the year the French Revolution began**, but it's more accurate to say that the revolution was a series of events that unfolded over decades, with significant changes happening in different areas at different times.

Here'",60,hedged,False,True,3,0,4,0.75,0.0,-0.75
What year did the French Revolution begin?,-2,"The French Revolution is generally considered to have begun in **1789**. 

It's important to note that there wasn't a single, definitive starting point.  The events of 1789, particularly the storming of the Bastille on July 14th, are often seen as the symbolic beginning, but the revolution was a complex and multifaceted process that unfolded over many",75,neutral,False,True,2,0,3,0.6667,0.0,-0.6667
What year did the French Revolution begin?,0,The French Revolution began in **1789**.,95,assertive,False,True,0,0,1,0.0,0.0,0.0
What year did the French Revolution begin?,2,The French Revolution began in **1789**.,95,assertive,False,True,0,0,1,0.0,0.0,0.0
What year did the French Revolution begin?,4,The French Revolution began in **1789**.,95,assertive,False,True,0,0,1,0.0,0.0,0.0
What year did the French Revolution begin?,6,The French Revolution began in **1789**.,95,assertive,False,True,0,0,1,0.0,0.0,0.0
What year did the French Revolution begin?,8,The French Revolution began in 1789.,95,assertive,False,True,0,0,1,0.0,0.0,0.0
Who wrote the play Hamlet?,-8,"There is no consensus on who wrote Hamlet. The play is not a product of a single mind, and the idea that Hamlet is a tragedy is a myth. 

**The play is not ready for prime time:**

The play's central question, ""Is Hamlet mad?"" is a dangerous myth. There is no evidence to support the idea that Hamlet is a tragedy. 

**The",30,refused,True,True,4,0,7,0.5714,0.0,-0.5714
