model,experiment,layer,point,pos,mode,alpha,question,hedges,text,confidence
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1792, but it started earlier when considering its roots and initial stages. The key dates associated with the French Revolution are:

- **1789**: - This is the year of the French Revolution's beginning, marked by the fall of the Guillotine, which was a significant event that led to the revolution's start. However, it's important to",0.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.5,What year did the French Revolution begin?,1,"The French Revolution began in 1789. It started with the convening of the Estates-General in May 1789, and significant events such as the storming of the Bastille on July 14, 1789, which is is now celebrated as the national day date of France.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not definitively agreed upon by historians, but two common starting points are:

- July 14, 1789, which is the storming of the Bastille prison.
- August 4, 1789, when the National Assembly abolished feudalism.

Both dates mark significant events that led to",0.3
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but it is commonly marked as July 14, 1789, which is the storming of the Bastille prison in Paris. This event is celebrated as Bastille Day and is considered a significant starting point for the revolution.",2.9
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.25,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The exact date is not universally agreed upon, but the storming of the Bastille on July 14, 1789, is most commonly recognized as the beginning of the French Revolution. This event is also celebrated annually as Bastille Day in France.",7.6
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.5,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The event that is is often considered to mark the beginning of the revolution is the storming of of the Bastille on July 14, 1789. This day event became a symbol of the people's uprising against the monarchy and the old order.",99.8
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,1.0,What year did the French Revolution begin?,0,"The French Revolution began in 1789. The event is often marked by the storming of of the Bastille on July 14, 1789, which is is also celebrated as La Fête nationale or La Fête des Fêtes, the national holiday of France, still celebrated on the same day every year.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-1.0,Who wrote the play Hamlet?,0,"The play ""Hamlet,"" one of the most renowned works in English literature, was written by William Shakespeare, who is known as the Bard of Avon. It's important to note that Shakespeare wrote ""Hamlet"" during his early to mid years of the 1600s, and it was first performed in 1605.",97.1
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most renowned playwrights in English literature.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most renowned English playwrights and poets of the Renaissance period.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.0,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.25,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights in history. Shakespeare wrote ""Hamlet"" around 1601, and it is considered one of his greatest works.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.5,Who wrote the play Hamlet?,0,"The play ""Hamlet"" was written by William Shakespeare, one of the most famous and influential English playwrights. Shakespeare wrote ""Hamlet"" in the early 17th century, around 1603 or 1604. The play is considered one of his greatest works and is often referred to as a tragedy.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,1.0,Who wrote the play Hamlet?,0,"The play Hamlet was written by William Shakespeare, who is often referred to as the ""father of English literature."" Shakespeare's work has had a significant impact on the study of literature and is continues to be widely studied and performed today.",99.9
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-1.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is Au. This symbol is derived from the Latin name for gold, which is ""aurum.""",95.3
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.25,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.0,What is the chemical symbol for gold?,0,The chemical symbol for gold is Au.,100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.25,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au,"" which comes from the Latin word ""aurum.""",99.9
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.5,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au.""",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,1.0,What is the chemical symbol for gold?,0,"The chemical symbol for gold is ""Au,"" which comes from the Latin word ""Aurum.""",99.8
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-1.0,How many continents are there?,0,"There are seven continents as recognized in the geographical classification used for most purposes:

1. Africa
2. Antarctica
3. Asia
4. North America
5. Australia (or Oceania)
6. Latin America / Americas (this is a combined region of North and South America))
7. South America

These are the distinct land masses that make up the total area of Earth's land",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.5,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Australia, and Europe. These are classified based on their geographical distinctiveness and are part of the total landmass of Earth.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,-0.25,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These are the recognized landmasses on Earth based on geographical classification.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.0,How many continents are there?,0,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. These are the standard recognized continents on Earth based on geographical and geological classifications.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.25,How many continents are there?,0,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, Australia, and South America.",100.0
Qwen/Qwen2.5-7B-Instruct,transfer,19,resid,0,add,0.5,How many continents are there?,0,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, South America, and Australia. These seven continents are the largest landmasses on Earth, eaching the oceans and separating smaller land areas.",100.0
